BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC 
1,2017,9,1,11,2,0,0,0.407805,0
1,2017,9,1,11,3,0,0,0.509756,0
1,2017,9,1,12,0,0,0,0.509756,0
1,2017,9,1,12,1,0,0,0.509756,0
1,2017,9,1,12,2,0,0,0.509756,0
1,2017,9,1,12,3,0,0,0.509756,0
1,2017,9,1,13,0,0,0,0.509756,0
1,2017,9,1,13,1,0,0,0.509756,0
1,2017,9,1,13,2,0,0,0.203902,0
1,2017,9,1,13,3,0,0,0.403333,0
1,2017,9,1,14,0,0,0,0.55,0
1,2017,9,1,14,1,0,0,0.55,0
1,2017,9,4,9,2,0,0,0.553712,0
1,2017,9,4,9,3,0,0,0.553977,0
1,2017,9,4,10,0,0,0,0.553977,0
1,2017,9,4,10,1,0,0,0.553977,0
1,2017,9,4,10,2,0,0,0.553977,0
1,2017,9,4,11,3,0,0,0.857045,0
1,2017,9,4,12,0,0,0,0.566667,0
1,2017,9,4,12,1,0,0,2.106463,0
1,2017,9,4,12,2,0,0,1.315114,0
1,2017,9,4,12,3,0,0,2.125445,0
1,2017,9,4,13,0,0,0,1.561,0
1,2017,9,4,13,1,0,0,1.107667,0
1,2017,9,4,13,2,0,0,1.107667,0
1,2017,9,4,14,3,0,0,0.959978,0
1,2017,9,4,15,0,0,0,0.037128,0
1,2017,9,4,15,1,0,0,0.04641,0
1,2017,9,4,15,2,0,0,0.04641,0
1,2017,9,4,15,3,0,0,0.04641,0
1,2017,9,4,16,0,0,0,0.04641,0
1,2017,9,4,16,1,0,0,0.04641,0
1,2017,9,4,16,2,0,0,0.341776,0
1,2017,9,4,16,3,0,0,0.400144,0
1,2017,9,4,17,0,0,0,0.1957,0
1,2017,9,4,17,1,0,0,0.1957,0
1,2017,9,4,17,2,0,0,0.1957,0
1,2017,9,4,17,3,0,0,0.1957,0
1,2017,9,4,18,0,0,0,0.1957,0
1,2017,9,4,18,1,0,0,0.1957,0
1,2017,9,4,18,2,0,0,0.1957,0
1,2017,9,4,18,3,0,0,0.1957,0
1,2017,9,4,19,0,0,0,0.1957,0
1,2017,9,4,19,1,0,0,0.1957,0
1,2017,9,4,19,2,0,0,0.1957,0
1,2017,9,4,19,3,0,0,0.1957,0
1,2017,9,4,20,0,0,0,0.1957,0
1,2017,9,4,20,1,0,0,0.1957,0
1,2017,9,4,20,2,0,0,0.1957,0
1,2017,9,4,20,3,0,0,0.1957,0
1,2017,9,4,21,0,0,0,0.1957,0
1,2017,9,4,21,1,0,0,0.1957,0
1,2017,9,4,21,2,0,0,0.1957,0
1,2017,9,4,21,3,0,0,0.1957,0
1,2017,9,4,22,0,0,0,0.1957,0
1,2017,9,4,22,1,0,0,0.1957,0
1,2017,9,4,22,2,0,0,0.1957,0
1,2017,9,4,22,3,0,0,0.1957,0
1,2017,9,4,23,0,0,0,0.1957,0
1,2017,9,4,23,1,0,0,0.1957,0
1,2017,9,4,23,2,0,0,0.1957,0
1,2017,9,4,23,3,0,0,0.1957,0
1,2017,9,5,0,0,0,0,0.1957,0
1,2017,9,5,0,1,0,0,0.1957,0
1,2017,9,5,0,2,0,0,0.1957,0
1,2017,9,5,0,3,0,0,0.1957,0
1,2017,9,5,1,0,0,0,0.1957,0
1,2017,9,5,1,1,0,0,0.1957,0
1,2017,9,5,1,2,0,0,0.1957,0
1,2017,9,5,1,3,0,0,0.1957,0
1,2017,9,5,2,0,0,0,0.1957,0
1,2017,9,5,2,1,0,0,0.1957,0
1,2017,9,5,2,2,0,0,0.1957,0
1,2017,9,5,2,3,0,0,0.1957,0
1,2017,9,5,3,0,0,0,0.1957,0
1,2017,9,5,3,1,0,0,0.1957,0
1,2017,9,5,3,2,0,0,0.1957,0
1,2017,9,5,3,3,0,0,0.1957,0
1,2017,9,5,4,0,0,0,0.1957,0
1,2017,9,5,4,1,0,0,0.1957,0
1,2017,9,5,4,2,0,0,0.1957,0
1,2017,9,5,4,3,0,0,0.1957,0
1,2017,9,5,5,0,0,0,0.1957,0
1,2017,9,5,5,1,0,0,0.1957,0
1,2017,9,5,5,2,0,0,0.1957,0
1,2017,9,5,5,3,0,0,0.1957,0
1,2017,9,5,6,0,0,0,0.1957,0
1,2017,9,5,6,1,0,0,0.1957,0
1,2017,9,5,6,2,0,0,0.1957,0
1,2017,9,5,6,3,0,0,0.1957,0
