BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,9,1,0,2,0,0,1.495161,0
1,2017,9,1,0,3,0,0,4.485484,0
1,2017,9,1,1,0,0,0,4.435841,0
1,2017,9,1,1,1,0,0,5.732432,0
1,2017,9,1,1,2,0,0,5.732432,0
1,2017,9,1,8,3,0,0,1.987649,0
1,2017,9,1,9,0,0,0,1.72125,0
1,2017,9,1,9,1,0,0,1.72125,0
1,2017,9,1,9,2,0,0,0.6885,0
1,2017,9,1,10,0,0,0,5.886087,0
1,2017,9,1,10,1,0,0,4.244241,0
1,2017,9,1,10,2,0,0,2.301639,0
1,2017,9,1,10,3,0,0,2.301639,0
1,2017,9,1,11,0,0,0,2.301639,0
1,2017,9,1,11,1,0,0,1.994754,0
1,2017,9,1,12,0,0,0,4.701176,0
1,2017,9,1,12,1,0,0,7.835294,0
1,2017,9,1,12,2,0,0,5.223529,0
1,2017,9,1,12,3,0,0,0.737805,0
1,2017,9,1,13,0,0,0,2.213415,0
1,2017,9,1,13,1,0,0,2.213415,0
1,2017,9,1,13,2,0,0,2.387866,0
1,2017,9,1,13,3,0,0,3.75625,0
1,2017,9,1,14,0,0,0,1.367679,0
1,2017,9,1,14,1,0,0,8.600468,0
1,2017,9,1,14,2,0,0,11.216848,0
1,2017,9,1,14,3,0,0,14.869855,0
1,2017,9,1,15,0,0,0,2.4134,0
1,2017,9,1,15,1,0,0,0.892727,0
1,2017,9,1,15,2,0,0,8.110237,0
1,2017,9,1,15,3,0,0,8.534672,0
1,2017,9,1,16,0,0,0,1.453506,0
1,2017,9,1,16,1,0,0,5.035714,0
1,2017,9,1,16,2,0,0,5.035714,0
1,2017,9,1,16,3,0,0,4.835775,0
1,2017,9,1,17,0,0,0,7.888654,0
1,2017,9,1,17,1,0,0,6.964833,0
1,2017,9,1,17,2,0,0,7.18,0
1,2017,9,1,17,3,0,0,7.18,0
1,2017,9,1,18,0,0,0,7.18,0
1,2017,9,1,18,1,0,0,2.323167,0
1,2017,9,1,19,2,0,0,0.688333,0
1,2017,9,1,19,3,0,0,3.441667,0
1,2017,9,1,20,2,0,0,1.468235,0
1,2017,9,1,20,3,0,0,5.388015,0
1,2017,9,1,21,0,0,0,9.24375,0
1,2017,9,1,21,1,0,0,9.24375,0
1,2017,9,1,21,2,0,0,0.61625,0
1,2017,9,1,22,0,0,0,2.7425,0
1,2017,9,1,22,1,0,0,8.2275,0
1,2017,9,1,23,0,0,0,4.186667,0
1,2017,9,1,23,1,0,0,6.28,0
1,2017,9,1,23,2,0,0,2.093333,0
1,2017,9,2,0,1,0,0,0.394545,0
1,2017,9,2,0,2,0,0,5.918182,0
1,2017,9,2,0,3,0,0,6.597273,0
1,2017,9,2,1,0,0,0,9.87,0
1,2017,9,2,1,1,0,0,10.528846,0
1,2017,9,2,1,2,0,0,9.065598,0
1,2017,9,2,1,3,0,0,10.083333,0
1,2017,9,2,2,0,0,0,8.096151,0
1,2017,9,2,2,1,0,0,8.566071,0
1,2017,9,2,3,3,0,0,1.575,0
1,2017,9,2,4,0,0,0,4.725,0
1,2017,9,2,4,1,0,0,4.725,0
1,2017,9,2,4,2,0,0,6.527667,0
1,2017,9,2,4,3,0,0,8.105,0
1,2017,9,2,5,0,0,0,3.782333,0
1,2017,9,2,5,1,0,0,2.266667,0
1,2017,9,2,5,2,0,0,5.666667,0
1,2017,9,2,5,3,0,0,5.706667,0
