BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2018,2,14,16,1,0,0,0.400593,0
1,2018,2,14,22,2,0,0,0.52582,0
1,2018,2,14,22,3,0,0,0.118015,0
1,2018,2,14,23,0,0,0,0.118015,0
1,2018,2,14,23,1,0,0,0.118015,0
1,2018,2,14,23,2,0,0,0.118015,0
1,2018,2,14,23,3,0,0,0.118015,0
1,2018,2,15,0,0,0,0,0.118015,0
1,2018,2,15,0,1,0,0,0.118015,0
1,2018,2,15,0,2,0,0,0.118015,0
1,2018,2,15,0,3,0,0,0.118015,0
1,2018,2,15,1,0,0,0,0.118015,0
1,2018,2,15,1,1,0,0,0.118015,0
1,2018,2,15,1,2,0,0,0.118015,0
1,2018,2,15,1,3,0,0,0.118015,0
1,2018,2,15,2,0,0,0,0.118015,0
1,2018,2,15,2,1,0,0,0.118015,0
1,2018,2,15,2,2,0,0,0.118015,0
1,2018,2,15,2,3,0,0,0.118015,0
1,2018,2,15,3,0,0,0,0.118015,0
1,2018,2,15,3,1,0,0,0.118015,0
1,2018,2,15,3,2,0,0,0.118015,0
1,2018,2,15,3,3,0,0,0.118015,0
1,2018,2,15,4,0,0,0,0.118015,0
1,2018,2,15,4,1,0,0,0.118015,0
1,2018,2,15,4,2,0,0,0.118015,0
1,2018,2,15,4,3,0,0,0.118015,0
1,2018,2,15,5,0,0,0,0.118015,0
1,2018,2,15,5,1,0,0,0.118015,0
1,2018,2,15,5,2,0,0,0.118015,0
1,2018,2,15,5,3,0,0,0.118015,0
1,2018,2,15,6,0,0,0,0.118015,0
1,2018,2,15,6,1,0,0,0.118015,0
1,2018,2,15,6,2,0,0,0.118015,0
1,2018,2,15,6,3,0,0,0.118015,0
1,2018,2,15,7,0,0,0,0.118015,0
1,2018,2,15,7,1,0,0,0.118015,0
1,2018,2,15,7,2,0,0,0.118015,0
1,2018,2,15,7,3,0,0,0.118015,0
1,2018,2,15,8,0,0,0,0.118015,0
1,2018,2,15,8,1,0,0,0.118015,0
1,2018,2,15,8,2,0,0,0.118015,0
1,2018,2,15,8,3,0,0,0.118015,0
1,2018,2,15,9,0,0,0,0.118015,0
1,2018,2,15,9,1,0,0,0.379879,0
1,2018,2,15,9,2,0,0,0.772674,0
1,2018,2,15,9,3,0,0,0.772674,0
1,2018,2,15,10,0,0,0,0.772674,0
1,2018,2,15,10,1,0,0,0.772674,0
1,2018,2,15,10,2,0,0,0.772674,0
1,2018,2,15,10,3,0,0,0.772674,0
1,2018,2,15,11,0,0,0,0.772674,0
1,2018,2,15,11,1,0,0,0.772674,0
1,2018,2,15,11,2,0,0,0.772674,0
1,2018,2,15,11,3,0,0,0.772674,0
1,2018,2,15,12,0,0,0,0.772674,0
1,2018,2,15,12,1,0,0,0.772674,0
1,2018,2,15,12,2,0,0,0.772674,0
1,2018,2,15,12,3,0,0,0.190311,0
1,2018,2,15,14,0,0,0,0.527446,0
1,2018,2,15,14,1,0,0,0.56512,0
1,2018,2,15,14,2,0,0,0.56512,0
1,2018,2,15,14,3,0,0,0.56512,0
1,2018,2,15,15,0,0,0,0.56512,0
1,2018,2,15,15,1,0,0,0.56512,0
1,2018,2,15,15,2,0,0,0.56512,0
1,2018,2,15,15,3,0,0,0.56512,0
1,2018,2,15,16,0,0,0,0.56512,0
1,2018,2,15,16,1,0,0,0.56512,0
1,2018,2,15,16,2,0,0,0.56512,0
1,2018,2,15,16,3,0,0,0.56512,0
1,2018,2,15,17,0,0,0,0.56512,0
1,2018,2,15,17,1,0,0,2.928125,0
1,2018,2,15,17,2,0,0,3.096912,0
1,2018,2,15,17,3,0,0,3.096912,0
1,2018,2,15,18,0,0,0,2.908538,0
1,2018,2,15,18,1,0,0,2.531791,0
1,2018,2,15,18,2,0,0,2.531791,0
1,2018,2,15,18,3,0,0,2.531791,0
1,2018,2,15,19,0,0,0,2.536819,0
1,2018,2,15,19,1,0,0,2.607215,0
1,2018,2,15,19,2,0,0,2.607215,0
1,2018,2,15,19,3,0,0,2.607215,0
1,2018,2,15,20,0,0,0,2.607215,0
1,2018,2,15,20,1,0,0,2.607215,0
1,2018,2,15,20,2,0,0,1.256926,0
1,2018,2,15,20,3,0,0,0.075424,0
1,2018,2,15,21,0,0,0,0.075424,0
1,2018,2,15,21,1,0,0,0.075424,0
1,2018,2,15,21,2,0,0,0.075424,0
