BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,9,1,9,1,0,0,0.424064,0
1,2017,9,1,9,2,0,0,0.636096,0
1,2017,9,1,9,3,0,0,0.636096,0
1,2017,9,1,10,0,0,0,0.636096,0
1,2017,9,1,10,1,0,0,0.636096,0
1,2017,9,1,10,2,0,0,0.636096,0
1,2017,9,1,10,3,0,0,0.636096,0
1,2017,9,1,11,0,0,0,0.636096,0
1,2017,9,1,11,1,0,0,0.636096,0
1,2017,9,1,11,2,0,0,0.636096,0
1,2017,9,1,11,3,0,0,0.636096,0
1,2017,9,1,12,0,0,0,0.636096,0
1,2017,9,1,12,1,0,0,0.508877,0
1,2017,9,1,21,3,0,0,0.066128,0
1,2017,9,1,22,0,0,0,0.495961,0
1,2017,9,1,22,1,0,0,0.495961,0
1,2017,9,1,22,2,0,0,0.495961,0
1,2017,9,1,22,3,0,0,0.495961,0
1,2017,9,1,23,0,0,0,0.495961,0
1,2017,9,1,23,1,0,0,0.495961,0
1,2017,9,1,23,2,0,0,0.495961,0
1,2017,9,1,23,3,0,0,0.495961,0
1,2017,9,2,0,0,0,0,0.495961,0
1,2017,9,2,0,1,0,0,0.495961,0
1,2017,9,2,0,2,0,0,0.495961,0
1,2017,9,2,0,3,0,0,0.495961,0
1,2017,9,2,1,0,0,0,0.495961,0
1,2017,9,2,1,1,0,0,0.495961,0
1,2017,9,2,1,2,0,0,0.495961,0
1,2017,9,2,1,3,0,0,0.495961,0
1,2017,9,2,2,0,0,0,0.495961,0
1,2017,9,2,2,1,0,0,0.495961,0
1,2017,9,2,2,2,0,0,0.495961,0
1,2017,9,2,2,3,0,0,0.495961,0
1,2017,9,2,3,0,0,0,0.495961,0
1,2017,9,2,3,1,0,0,0.495961,0
1,2017,9,2,3,2,0,0,0.495961,0
1,2017,9,2,3,3,0,0,0.495961,0
1,2017,9,2,4,0,0,0,0.495961,0
1,2017,9,2,4,1,0,0,0.495961,0
1,2017,9,2,4,2,0,0,0.495961,0
1,2017,9,2,4,3,0,0,0.495961,0
1,2017,9,2,5,0,0,0,0.495961,0
1,2017,9,2,5,1,0,0,0.495961,0
1,2017,9,2,5,2,0,0,0.495961,0
1,2017,9,2,5,3,0,0,0.495961,0
1,2017,9,2,6,0,0,0,0.495961,0
1,2017,9,2,6,1,0,0,0.495961,0
1,2017,9,2,6,2,0,0,0.495961,0
1,2017,9,2,6,3,0,0,0.495961,0
1,2017,9,2,7,0,0,0,0.495961,0
1,2017,9,2,7,1,0,0,0.495961,0
1,2017,9,2,7,2,0,0,0.495961,0
1,2017,9,2,7,3,0,0,0.495961,0
1,2017,9,2,8,0,0,0,0.495961,0
1,2017,9,2,8,1,0,0,0.495961,0
1,2017,9,2,8,2,0,0,0.495961,0
1,2017,9,2,8,3,0,0,0.495961,0
1,2017,9,2,9,0,0,0,0.495961,0
1,2017,9,2,9,1,0,0,0.495961,0
1,2017,9,2,9,2,0,0,0.495961,0
1,2017,9,2,12,3,0,0,0.888487,0
1,2017,9,2,13,0,0,0,1.574348,0
1,2017,9,2,13,1,0,0,1.574348,0
1,2017,9,2,13,2,0,0,1.574348,0
1,2017,9,2,13,3,0,0,1.574348,0
1,2017,9,2,14,0,0,0,1.574348,0
1,2017,9,2,14,1,0,0,1.574348,0
1,2017,9,2,14,2,0,0,1.574348,0
1,2017,9,2,14,3,0,0,0.524783,0
1,2017,9,3,10,1,0,0,0.339857,0
1,2017,9,3,10,2,0,0,0.849643,0
1,2017,9,3,10,3,0,0,0.849643,0
1,2017,9,3,11,0,0,0,0.849643,0
1,2017,9,3,11,1,0,0,0.849643,0
1,2017,9,3,11,2,0,0,0.849643,0
1,2017,9,3,11,3,0,0,0.849643,0
1,2017,9,3,12,0,0,0,0.849643,0
1,2017,9,3,12,1,0,0,0.849643,0
1,2017,9,3,12,2,0,0,0.793,0
1,2017,9,3,13,3,0,0,0.034054,0
1,2017,9,3,14,0,0,0,0.255405,0
1,2017,9,3,14,1,0,0,0.255405,0
1,2017,9,3,14,2,0,0,0.259005,0
1,2017,9,3,14,3,0,0,0.264405,0
1,2017,9,3,15,0,0,0,0.264405,0
1,2017,9,3,15,1,0,0,0.264405,0
1,2017,9,3,15,2,0,0,0.264405,0
1,2017,9,3,15,3,0,0,0.264405,0
1,2017,9,3,16,0,0,0,0.264405,0
1,2017,9,3,16,1,0,0,0.196297,0
1,2017,9,3,16,2,0,0,0.009,0
1,2017,9,3,16,3,0,0,0.009,0
1,2017,9,3,17,0,0,0,0.009,0
1,2017,9,3,17,1,0,0,0.009,0
1,2017,9,3,17,2,0,0,0.009,0
1,2017,9,3,17,3,0,0,0.009,0
1,2017,9,3,18,0,0,0,0.009,0
1,2017,9,3,18,1,0,0,0.009,0
1,2017,9,3,18,2,0,0,0.009,0
1,2017,9,3,18,3,0,0,0.009,0
1,2017,9,3,19,0,0,0,0.009,0
1,2017,9,3,19,1,0,0,0.009,0
1,2017,9,3,19,2,0,0,0.009,0
1,2017,9,3,19,3,0,0,0.009,0
1,2017,9,3,20,0,0,0,0.009,0
1,2017,9,3,20,1,0,0,0.009,0
1,2017,9,3,20,2,0,0,0.009,0
1,2017,9,3,20,3,0,0,0.009,0
1,2017,9,3,21,0,0,0,0.009,0
1,2017,9,3,21,1,0,0,0.009,0
1,2017,9,3,21,2,0,0,0.009,0
1,2017,9,3,21,3,0,0,0.009,0
1,2017,9,3,22,0,0,0,0.009,0
1,2017,9,3,22,1,0,0,0.009,0
1,2017,9,3,22,2,0,0,0.009,0
1,2017,9,3,22,3,0,0,0.009,0
1,2017,9,3,23,0,0,0,0.009,0
1,2017,9,3,23,1,0,0,0.009,0
1,2017,9,3,23,2,0,0,0.009,0
1,2017,9,3,23,3,0,0,0.009,0
1,2017,9,4,0,0,0,0,0.009,0
1,2017,9,4,0,1,0,0,0.009,0
1,2017,9,4,0,2,0,0,0.009,0
1,2017,9,4,0,3,0,0,0.009,0
1,2017,9,4,1,0,0,0,0.009,0
1,2017,9,4,1,1,0,0,0.009,0
1,2017,9,4,1,2,0,0,0.009,0
1,2017,9,4,1,3,0,0,0.009,0
1,2017,9,4,2,0,0,0,0.009,0
1,2017,9,4,2,1,0,0,0.009,0
1,2017,9,4,2,2,0,0,0.009,0
1,2017,9,4,2,3,0,0,0.009,0
1,2017,9,4,3,0,0,0,0.009,0
1,2017,9,4,3,1,0,0,0.009,0
1,2017,9,4,3,2,0,0,0.009,0
1,2017,9,4,3,3,0,0,0.009,0
1,2017,9,4,4,0,0,0,0.009,0
1,2017,9,4,4,1,0,0,0.009,0
1,2017,9,4,4,2,0,0,0.009,0
1,2017,9,4,4,3,0,0,0.009,0
1,2017,9,4,5,0,0,0,0.009,0
1,2017,9,4,5,1,0,0,0.009,0
1,2017,9,4,5,2,0,0,0.009,0
1,2017,9,4,5,3,0,0,0.009,0
1,2017,9,4,6,0,0,0,0.009,0
1,2017,9,4,6,1,0,0,0.009,0
1,2017,9,4,6,2,0,0,0.009,0
1,2017,9,4,6,3,0,0,0.009,0
1,2017,9,4,7,0,0,0,0.009,0
1,2017,9,4,7,1,0,0,0.009,0
1,2017,9,4,7,2,0,0,0.009,0
1,2017,9,4,7,3,0,0,0.009,0
1,2017,9,4,8,0,0,0,0.009,0
1,2017,9,4,8,1,0,0,0.009,0
1,2017,9,4,8,2,0,0,0.009,0
1,2017,9,4,8,3,0,0,0.009,0
1,2017,9,4,9,0,0,0,0.009,0
1,2017,9,4,9,1,0,0,0.009,0
1,2017,9,4,9,2,0,0,0.009,0
1,2017,9,4,9,3,0,0,0.009,0
1,2017,9,4,10,0,0,0,0.009,0
1,2017,9,4,10,1,0,0,0.009,0
1,2017,9,4,10,2,0,0,0.009,0
1,2017,9,4,10,3,0,0,0.009,0
1,2017,9,4,11,0,0,0,0.009,0
1,2017,9,4,11,1,0,0,0.009,0
1,2017,9,4,11,2,0,0,0.009,0
1,2017,9,4,11,3,0,0,0.009,0
1,2017,9,4,12,0,0,0,0.009,0
1,2017,9,4,12,1,0,0,0.009,0
1,2017,9,4,12,2,0,0,0.009,0
1,2017,9,4,12,3,0,0,0.009,0
1,2017,9,4,13,0,0,0,0.0054,0
1,2017,9,4,16,2,0,0,1.422671,0
1,2017,9,4,16,3,0,0,1.422671,0
1,2017,9,4,17,0,0,0,1.422671,0
1,2017,9,4,17,1,0,0,1.422671,0
1,2017,9,4,17,2,0,0,1.422671,0
1,2017,9,4,17,3,0,0,1.422671,0
1,2017,9,4,18,0,0,0,1.422671,0
1,2017,9,4,18,1,0,0,1.422671,0
1,2017,9,4,18,2,0,0,1.422671,0
1,2017,9,4,18,3,0,0,1.422671,0
1,2017,9,4,19,0,0,0,1.043292,0
1,2017,9,4,19,1,0,0,0.42,0
1,2017,9,4,19,2,0,0,1.575,0
