BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,9,11,14,0,0,0,0.137198,0
1,2017,9,11,14,1,0,0,0.257246,0
1,2017,9,11,14,2,0,0,0.257246,0
1,2017,9,11,14,3,0,0,0.257246,0
1,2017,9,11,15,0,0,0,0.257246,0
1,2017,9,11,15,1,0,0,0.257246,0
1,2017,9,11,15,2,0,0,0.257246,0
1,2017,9,11,15,3,0,0,0.257246,0
1,2017,9,11,16,0,0,0,0.257246,0
1,2017,9,11,16,1,0,0,0.257246,0
1,2017,9,11,16,2,0,0,0.257246,0
1,2017,9,11,16,3,0,0,0.257246,0
1,2017,9,11,17,0,0,0,0.257246,0
1,2017,9,11,17,1,0,0,0.257246,0
1,2017,9,11,17,2,0,0,0.257246,0
1,2017,9,11,17,3,0,0,0.257246,0
1,2017,9,11,18,0,0,0,0.257246,0
1,2017,9,11,18,1,0,0,0.257246,0
1,2017,9,11,18,2,0,0,0.257246,0
1,2017,9,11,18,3,0,0,0.257246,0
1,2017,9,11,19,0,0,0,0.257246,0
1,2017,9,11,19,1,0,0,0.257246,0
1,2017,9,11,19,2,0,0,0.257246,0
1,2017,9,11,19,3,0,0,0.257246,0
1,2017,9,11,20,0,0,0,0.257246,0
1,2017,9,11,20,1,0,0,0.257246,0
1,2017,9,11,20,2,0,0,0.257246,0
1,2017,9,11,20,3,0,0,0.257246,0
1,2017,9,11,21,0,0,0,0.01715,0
1,2017,9,12,0,3,0,0,0.088415,0
1,2017,9,12,1,0,0,0,0.331557,0
1,2017,9,12,1,1,0,0,0.331557,0
1,2017,9,12,1,2,0,0,0.331557,0
1,2017,9,12,1,3,0,0,0.331557,0
1,2017,9,12,2,0,0,0,0.331557,0
1,2017,9,12,2,1,0,0,0.331557,0
1,2017,9,12,2,2,0,0,0.331557,0
1,2017,9,12,2,3,0,0,0.331557,0
1,2017,9,12,3,0,0,0,0.331557,0
1,2017,9,12,3,1,0,0,0.331557,0
