BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,9,1,0,0,0,0,2.219459,0
1,2017,9,1,0,1,0,0,8.322973,0
1,2017,9,1,0,2,0,0,8.322973,0
1,2017,9,1,0,3,0,0,1.664595,0
1,2017,9,1,1,1,0,0,9.678235,0
1,2017,9,1,1,2,0,0,7.923529,0
1,2017,9,1,1,3,0,0,6.415977,0
1,2017,9,1,2,0,0,0,7.359677,0
1,2017,9,1,2,1,0,0,2.828181,0
1,2017,9,1,2,2,0,0,6.492,0
1,2017,9,1,2,3,0,0,3.4624,0
1,2017,9,1,5,2,0,0,4.135385,0
1,2017,9,1,5,3,0,0,5.169231,0
1,2017,9,1,6,0,0,0,5.33362,0
1,2017,9,1,6,1,0,0,5.591765,0
1,2017,9,1,6,2,0,0,7.827778,0
1,2017,9,1,6,3,0,0,0.982222,0
1,2017,9,1,7,1,0,0,3.65,0
1,2017,9,1,7,2,0,0,2.643077,0
1,2017,9,1,7,3,0,0,5.436923,0
1,2017,9,1,9,1,0,0,2.395,0
1,2017,9,1,9,2,0,0,7.185,0
1,2017,9,1,9,3,0,0,7,0
1,2017,9,1,10,0,0,0,6.085714,0
1,2017,9,1,10,1,0,0,0,0
1,2017,9,1,10,2,0,0,5.025,0
1,2017,9,1,10,3,0,0,0,0
1,2017,9,1,11,0,0,0,0,0
1,2017,9,1,11,1,0,0,1.705455,0
1,2017,9,1,11,2,0,0,6.395455,0
1,2017,9,1,11,3,0,0,1.279091,0
1,2017,9,1,12,0,0,0,0,0
1,2017,9,1,12,1,0,0,4.290417,0
1,2017,9,1,12,2,0,0,4.596875,0
1,2017,9,1,12,3,0,0,4.599307,0
1,2017,9,1,13,0,0,0,6.210312,0
1,2017,9,1,13,1,0,0,7.458478,0
1,2017,9,1,13,2,0,0,0.036478,0
1,2017,9,1,13,3,0,0,0.036478,0
1,2017,9,1,14,0,0,0,6.905228,0
1,2017,9,1,14,1,0,0,1.077545,0
1,2017,9,1,14,2,0,0,0.126204,0
1,2017,9,1,14,3,0,0,0.126204,0
1,2017,9,1,15,0,0,0,0.154979,0
1,2017,9,1,15,1,0,0,0.185369,0
1,2017,9,1,15,2,0,0,0.193804,0
1,2017,9,1,15,3,0,0,0.193804,0
1,2017,9,1,16,0,0,0,7.108587,0
1,2017,9,1,16,1,0,0,7.443076,0
1,2017,9,1,16,2,0,0,8.605966,0
1,2017,9,1,16,3,0,0,8.605966,0
1,2017,9,1,17,0,0,0,1.315426,0
1,2017,9,1,17,1,0,0,0.193804,0
1,2017,9,1,17,2,0,0,0.193804,0
1,2017,9,1,17,3,0,0,0.193804,0
1,2017,9,1,18,0,0,0,0.193804,0
1,2017,9,1,18,1,0,0,0.193804,0
1,2017,9,1,18,2,0,0,0.193804,0
1,2017,9,1,18,3,0,0,3.793804,0
1,2017,9,1,19,0,0,0,1.693804,0
1,2017,9,1,19,1,0,0,0.193804,0
1,2017,9,1,19,2,0,0,0.193804,0
1,2017,9,1,19,3,0,0,11.782441,0
1,2017,9,1,20,0,0,0,3.870168,0
1,2017,9,1,20,1,0,0,4.092804,0
1,2017,9,1,20,2,0,0,1.864804,0
1,2017,9,1,20,3,0,0,2.290233,0
1,2017,9,1,21,0,0,0,6.022376,0
1,2017,9,1,21,1,0,0,6.065471,0
1,2017,9,1,21,2,0,0,7.852138,0
1,2017,9,1,21,3,0,0,6.628804,0
1,2017,9,1,22,0,0,0,2.591026,0
1,2017,9,1,22,1,0,0,7.500868,0
1,2017,9,1,22,2,0,0,4.38809,0
1,2017,9,1,22,3,0,0,3.642376,0
1,2017,9,1,23,0,0,0,5.986661,0
1,2017,9,1,23,1,0,0,0.193804,0
1,2017,9,1,23,2,0,0,0.947441,0
1,2017,9,1,23,3,0,0,3.961986,0
1,2017,9,2,0,0,0,0,3.961986,0
1,2017,9,2,0,1,0,0,3.049067,0
1,2017,9,2,0,2,0,0,5.088541,0
1,2017,9,2,0,3,0,0,0.193804,0
1,2017,9,2,1,0,0,0,5.99936,0
1,2017,9,2,1,1,0,0,5.281582,0
1,2017,9,2,1,2,0,0,5.327257,0
1,2017,9,2,1,3,0,0,5.984876,0
1,2017,9,2,2,0,0,0,4.050947,0
1,2017,9,2,2,1,0,0,4.077204,0
1,2017,9,2,2,2,0,0,6.181804,0
1,2017,9,2,2,3,0,0,5.162404,0
1,2017,9,2,3,0,0,0,9.068804,0
1,2017,9,2,3,1,0,0,6.096582,0
1,2017,9,2,3,2,0,0,4.566741,0
1,2017,9,2,3,3,0,0,3.572376,0
1,2017,9,2,4,0,0,0,0.869519,0
1,2017,9,2,4,1,0,0,0.193804,0
1,2017,9,2,4,2,0,0,0.193804,0
