BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,9,1,8,3,0,0,1.17381,0
1,2017,9,1,9,0,0,0,3.521429,0
1,2017,9,1,9,1,0,0,0.234762,0
1,2017,9,1,9,2,0,0,3.865698,0
1,2017,9,1,9,3,0,0,4.845698,0
1,2017,9,1,10,0,0,0,5.402412,0
1,2017,9,1,10,1,0,0,4.162177,0
1,2017,9,1,10,2,0,0,10.647471,0
1,2017,9,1,10,3,0,0,5.026883,0
1,2017,9,1,11,0,0,0,8.405034,0
1,2017,9,1,11,1,0,0,8.708096,0
1,2017,9,1,11,2,0,0,7.043225,0
1,2017,9,1,11,3,0,0,2.114455,0
1,2017,9,1,12,0,0,0,1.123404,0
1,2017,9,1,12,1,0,0,1.123404,0
1,2017,9,1,12,2,0,0,0.674043,0
1,2017,9,1,13,1,0,0,3.57,0
1,2017,9,1,14,2,0,0,10.1625,0
1,2017,9,1,14,3,0,0,5.646591,0
1,2017,9,1,15,0,0,0,3.038909,0
1,2017,9,1,15,1,0,0,5.34,0
1,2017,9,1,15,2,0,0,4.272,0
1,2017,9,1,15,3,0,0,1.047387,0
1,2017,9,1,16,0,0,0,5.353776,0
1,2017,9,1,16,1,0,0,4.713937,0
1,2017,9,1,16,2,0,0,0.17526,0
1,2017,9,1,16,3,0,0,0.17526,0
1,2017,9,1,17,0,0,0,0.17526,0
1,2017,9,1,17,1,0,0,0.17526,0
1,2017,9,1,17,2,0,0,0.17526,0
1,2017,9,1,17,3,0,0,0.17526,0
1,2017,9,1,18,0,0,0,3.659672,0
1,2017,9,1,18,1,0,0,4.926731,0
1,2017,9,1,18,2,0,0,3.265053,0
1,2017,9,1,18,3,0,0,8.510395,0
1,2017,9,1,19,0,0,0,8.510395,0
1,2017,9,1,19,1,0,0,3.509314,0
1,2017,9,1,19,2,0,0,0.17526,0
1,2017,9,1,19,3,0,0,1.57526,0
1,2017,9,1,20,0,0,0,10.67526,0
1,2017,9,1,20,1,0,0,0.17526,0
1,2017,9,1,20,2,0,0,2.945695,0
1,2017,9,1,20,3,0,0,2.945695,0
1,2017,9,1,21,0,0,0,4.969224,0
1,2017,9,1,21,1,0,0,5.216426,0
1,2017,9,1,21,2,0,0,2.97526,0
1,2017,9,1,21,3,0,0,8.57526,0
1,2017,9,1,22,0,0,0,0.73526,0
1,2017,9,1,22,1,0,0,4.03401,0
1,2017,9,1,22,2,0,0,0.72651,0
1,2017,9,1,22,3,0,0,0.17526,0
1,2017,9,1,23,0,0,0,0.17526,0
1,2017,9,1,23,1,0,0,0.17526,0
1,2017,9,1,23,2,0,0,0.17526,0
1,2017,9,1,23,3,0,0,0.17526,0
1,2017,9,2,0,0,0,0,0.903831,0
1,2017,9,2,0,1,0,0,9.646689,0
1,2017,9,2,0,2,0,0,0.17526,0
1,2017,9,2,0,3,0,0,0.17526,0
1,2017,9,2,1,0,0,0,4.309053,0
1,2017,9,2,1,1,0,0,7.064915,0
1,2017,9,2,1,2,0,0,5.957966,0
1,2017,9,2,1,3,0,0,6.711799,0
1,2017,9,2,2,0,0,0,1.482568,0
1,2017,9,2,2,1,0,0,0.17526,0
1,2017,9,2,2,2,0,0,0.17526,0
1,2017,9,2,2,3,0,0,0.17526,0
1,2017,9,2,3,0,0,0,0.17526,0
1,2017,9,2,3,1,0,0,0.17526,0
1,2017,9,2,3,2,0,0,0.17526,0
1,2017,9,2,3,3,0,0,0.17526,0
1,2017,9,2,4,0,0,0,0.17526,0
1,2017,9,2,4,1,0,0,0.17526,0
1,2017,9,2,4,2,0,0,0.17526,0
1,2017,9,2,4,3,0,0,0.17526,0
1,2017,9,2,5,0,0,0,0.17526,0
1,2017,9,2,5,1,0,0,0.17526,0
1,2017,9,2,5,2,0,0,0.17526,0
1,2017,9,2,5,3,0,0,0.17526,0
1,2017,9,2,6,0,0,0,0.17526,0
1,2017,9,2,6,1,0,0,0.17526,0
1,2017,9,2,6,2,0,0,0.17526,0
1,2017,9,2,6,3,0,0,0.17526,0
1,2017,9,2,7,0,0,0,0.17526,0
1,2017,9,2,7,1,0,0,0.17526,0
1,2017,9,2,7,2,0,0,0.17526,0
1,2017,9,2,7,3,0,0,0.17526,0
1,2017,9,2,8,0,0,0,0.17526,0
1,2017,9,2,8,1,0,0,0.17526,0
1,2017,9,2,8,2,0,0,0.17526,0
1,2017,9,2,8,3,0,0,0.17526,0
1,2017,9,2,9,0,0,0,1.471725,0
1,2017,9,2,9,1,0,0,7.922833,0
1,2017,9,2,9,2,0,0,0.905333,0
1,2017,9,2,9,3,0,0,0.482844,0
1,2017,9,2,10,2,0,0,5.049903,0
1,2017,9,2,10,3,0,0,7.799839,0
1,2017,9,2,11,0,0,0,6.838601,0
1,2017,9,2,13,1,0,0,5.235228,0
1,2017,9,2,13,2,0,0,7.579323,0
1,2017,9,2,13,3,0,0,7.991331,0
1,2017,9,2,14,0,0,0,4.893511,0
1,2017,9,2,14,1,0,0,2.786368,0
1,2017,9,2,14,2,0,0,2.786368,0
1,2017,9,2,14,3,0,0,2.786368,0
1,2017,9,2,15,0,0,0,2.786368,0
1,2017,9,2,15,1,0,0,0.928789,0
1,2017,9,2,16,2,0,0,0.654809,0
1,2017,9,2,16,3,0,0,4.022586,0
1,2017,9,2,17,0,0,0,0.173697,0
1,2017,9,2,17,1,0,0,0.173697,0
1,2017,9,2,17,2,0,0,0.173697,0
1,2017,9,2,17,3,0,0,1.603697,0
1,2017,9,2,18,0,0,0,0.173697,0
1,2017,9,2,18,1,0,0,0.173697,0
1,2017,9,2,18,2,0,0,0.173697,0
1,2017,9,2,18,3,0,0,0.173697,0
1,2017,9,2,19,0,0,0,1.0266,0
1,2017,9,2,19,1,0,0,1.745838,0
1,2017,9,2,19,2,0,0,1.520838,0
1,2017,9,2,19,3,0,0,0.620838,0
1,2017,9,2,20,0,0,0,0.620838,0
1,2017,9,2,20,1,0,0,0.620838,0
1,2017,9,2,20,2,0,0,6.909299,0
1,2017,9,2,20,3,0,0,5.060838,0
1,2017,9,2,21,0,0,0,7.392713,0
1,2017,9,2,21,1,0,0,7.378963,0
1,2017,9,2,21,2,0,0,0.620838,0
1,2017,9,2,21,3,0,0,0.620838,0
1,2017,9,2,22,0,0,0,0.620838,0
1,2017,9,2,22,1,0,0,9.920838,0
1,2017,9,2,22,2,0,0,5.722088,0
1,2017,9,2,22,3,0,0,6.649588,0
1,2017,9,2,23,0,0,0,2.067504,0
1,2017,9,2,23,1,0,0,1.344171,0
1,2017,9,2,23,2,0,0,0.620838,0
1,2017,9,2,23,3,0,0,0.620838,0
1,2017,9,3,0,0,0,0,0.620838,0
1,2017,9,3,0,1,0,0,0.620838,0
1,2017,9,3,0,2,0,0,1.267794,0
1,2017,9,3,0,3,0,0,10.325186,0
1,2017,9,3,1,0,0,0,8.719533,0
1,2017,9,3,1,1,0,0,9.545838,0
1,2017,9,3,1,2,0,0,9.151747,0
1,2017,9,3,1,3,0,0,9.207236,0
1,2017,9,3,2,0,0,0,8.351607,0
1,2017,9,3,2,1,0,0,3.197761,0
1,2017,9,3,2,2,0,0,0.620838,0
1,2017,9,3,2,3,0,0,0.620838,0
1,2017,9,3,3,0,0,0,0.620838,0
1,2017,9,3,3,1,0,0,0.620838,0
1,2017,9,3,3,2,0,0,0.620838,0
1,2017,9,3,3,3,0,0,2.136552,0
1,2017,9,3,4,0,0,0,9.715123,0
1,2017,9,3,4,1,0,0,0.620838,0
1,2017,9,3,4,2,0,0,5.932838,0
1,2017,9,3,4,3,0,0,8.588838,0
1,2017,9,3,5,0,0,0,0.620838,0
1,2017,9,3,5,1,0,0,0.620838,0
1,2017,9,3,5,2,0,0,0.620838,0
1,2017,9,3,5,3,0,0,0.620838,0
1,2017,9,3,6,0,0,0,0.620838,0
1,2017,9,3,6,1,0,0,0.620838,0
1,2017,9,3,6,2,0,0,0.620838,0
1,2017,9,3,6,3,0,0,0.620838,0
1,2017,9,3,7,0,0,0,0.620838,0
