BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2018,2,14,17,3,0,0,1.052278,0
1,2018,2,14,18,0,0,0,1.434925,0
1,2018,2,14,18,1,0,0,1.434925,0
1,2018,2,14,18,2,0,0,1.434925,0
1,2018,2,14,18,3,0,0,1.434925,0
1,2018,2,14,19,0,0,0,1.434925,0
1,2018,2,14,19,1,0,0,1.434925,0
1,2018,2,14,19,2,0,0,1.434925,0
1,2018,2,14,19,3,0,0,1.434925,0
1,2018,2,14,20,0,0,0,0.191323,0
1,2018,2,15,9,3,0,0,0.729023,0
1,2018,2,15,10,0,0,0,1.093534,0
1,2018,2,15,10,1,0,0,1.093534,0
1,2018,2,15,10,2,0,0,1.093534,0
1,2018,2,15,10,3,0,0,1.093534,0
1,2018,2,15,11,0,0,0,1.093534,0
1,2018,2,15,11,1,0,0,1.093534,0
1,2018,2,15,11,2,0,0,1.093534,0
1,2018,2,15,11,3,0,0,1.093534,0
1,2018,2,15,12,0,0,0,0.218707,0
1,2018,2,15,17,1,0,0,0.219352,0
1,2018,2,15,17,2,0,0,0.253099,0
1,2018,2,15,17,3,0,0,0.253099,0
1,2018,2,15,18,0,0,0,0.253099,0
1,2018,2,15,19,1,0,0,1.183414,0
1,2018,2,15,19,2,0,0,1.31463,0
1,2018,2,15,19,3,0,0,1.31463,0
1,2018,2,15,20,0,0,0,1.31463,0
1,2018,2,15,20,1,0,0,1.31463,0
1,2018,2,15,20,2,0,0,1.31463,0
1,2018,2,15,20,3,0,0,1.31463,0
1,2018,2,15,21,0,0,0,1.31463,0
1,2018,2,15,21,1,0,0,1.31463,0
1,2018,2,15,21,2,0,0,1.31463,0
1,2018,2,15,21,3,0,0,1.31463,0
1,2018,2,15,22,0,0,0,0.087642,0
1,2018,2,16,7,2,0,0,0.886364,0
1,2018,2,16,7,3,0,0,0.886364,0
1,2018,2,16,8,0,0,0,0.886364,0
1,2018,2,16,8,1,0,0,0.886364,0
1,2018,2,16,8,2,0,0,0.886364,0
1,2018,2,16,8,3,0,0,0.886364,0
1,2018,2,16,9,0,0,0,0.886364,0
1,2018,2,16,9,1,0,0,0.886364,0
1,2018,2,16,9,2,0,0,0.886364,0
1,2018,2,16,9,3,0,0,2.425038,0
1,2018,2,16,10,0,0,0,2.809707,0
1,2018,2,16,10,1,0,0,2.809707,0
1,2018,2,16,10,2,0,0,2.809707,0
1,2018,2,16,10,3,0,0,2.809707,0
1,2018,2,16,11,0,0,0,2.809707,0
1,2018,2,16,11,1,0,0,2.809707,0
