Quarter,Hour
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.19165
0,0.24466
0,2.127013
0,2.503484
0,2.503484
0,2.348533
0,2.258824
0,1.694118
0,0
0,0
0,0.246052
0,0.577772
0,0.577772
0,0.577772
0,0.577772
0,0.577772
0,0.577772
0,0.577772
0,0.577772
0,0.577772
0,0.20222
0,0
0,0
0,0
0.008155,0.374064
0.061165,0.431612
0.061165,0.431612
0.061165,0.431612
0.061165,0.431612
0.061165,0.129484
0.061165,0
0.061165,0
0.2494,0
0.625871,0
0.625871,0
0.625871,0
0.625871,0
0.625871,0
0.625871,0
0.625871,0
0.625871,1.39728
0.625871,0.397843
0.625871,1.987617
0.625871,3.209419
0.625871,0.043727
0.59325,0
0.564706,0
0.564706,0
0.564706,8.908363
0.564706,11.451632
0.564706,0.655473
0.564706,3.111216
0.564706,3.111216
0.564706,1.570156
0.564706,1960.14611
0,820.459942
0,638.275637
0,1116.927407
0,2106.037409
0,1343.209558
0,1162.832226
0,722.320824
0,527.220031
0,962.003071
0,95.964735
0,0.05114
0,2.508562
0.246052,1.012445
0.144443,225.854259
0.144443,111.311727
0.144443,84.894815
0.144443,167.778434
0.144443,317.787274
0.144443,215.902173
0.144443,175.59878
0.144443,147.281834
0.144443,90.95301
0.144443,191.558323
0.144443,312.441981
0.144443,2940.223413
0.144443,764.617449
0.144443,0
0.144443,2.237815
0.144443,1.366857
0.144443,0.612432
0.144443,0.612432
0.144443,0.612432
0.144443,0.612432
0.144443,0.612432
0.144443,0.612432
0.144443,0.612432
0.144443,0.612432
0.144443,0.345885
0.144443,0
0.144443,0
0.144443,0
0.144443,0.302322
0.144443,0.403096
0.144443,0.8339
0.144443,1.186376
0.144443,1.186376
0.144443,1.038574
0.144443,0.78328
0.144443,0.39164
0.144443,0
0.057777,0
0,0.207868
0,0.841377
0,0.896556
0,0.896556
0,0.896556
0,0.896556
0,0.896556
0,0.896556
0,0.896556
0,0.896556
0,0.382761
0,0
0,0
0,0
0.050355,0
0.107903,0.052708
0.107903,0.45178
0.107903,0.45178
0.107903,0.45178
0.107903,0.45178
0.107903,0.45178
0.107903,0.45178
0.107903,0.406602
0.107903,0
0.107903,0.488633
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,1.044408
0.107903,266.60518
0.021581,163.266377
0,78.444579
0,169.754542
0,271.249951
0,306.316714
0,283.2551
0,165.497775
0,126.945999
0,190.108347
0,274.067927
0,294.631327
0,191.798896
0,152.571204
0,0
0,0
0,750.818475
0,829.568188
0,1309.085744
0,768.551384
0,0
