Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model
7751157,601838,50914,1,6/9/2018,23:55,7/9/2018,7:03,22.287,0,1,1,1
7751142,604982,50349,2,6/9/2018,23:38,6/9/2018,23:48,7.08,0,2,1,2
7751140,603522H,50911,2,6/9/2018,23:36,6/9/2018,23:56,8.22,0,3,1,3
7751138,604735H,50268,1,6/9/2018,23:34,7/9/2018,15:11,4.78,0,4,1,4
7751125,608230,51548,2,6/9/2018,23:14,6/9/2018,23:21,4.494,0,1,1,5
7751124,503829,51086,2,6/9/2018,23:14,7/9/2018,19:30,1.91,0,5,1,1
7751116,606666,51549,2,6/9/2018,23:00,6/9/2018,23:14,10.292,0,1,1,5
7751112,608557,51547,2,6/9/2018,22:56,6/9/2018,23:56,32.023,0,1,1,5
7751099,518009,51421,2,6/9/2018,22:45,6/9/2018,23:12,13.433,0,6,2,5
7751092,519478,51548,2,6/9/2018,22:34,6/9/2018,23:01,9.948,0,1,1,5
7751076,608039,51422,2,6/9/2018,22:17,6/9/2018,23:01,17.689,0,6,1,5
7751069,607224,51548,2,6/9/2018,22:11,6/9/2018,22:25,6.582,0,1,1,5
7751062,605355,51426,2,6/9/2018,22:04,6/9/2018,22:23,8.518,0,6,2,5
7751046,603906,50841,2,6/9/2018,21:52,7/9/2018,7:24,5.53,0,7,1,4
7751042,607224,51548,2,6/9/2018,21:50,6/9/2018,22:00,6.874,0,1,1,5
7751026,604830H,50316,2,6/9/2018,21:44,7/9/2018,6:55,27.79,0,8,1,4
7751023,604244,51549,2,6/9/2018,21:41,6/9/2018,22:26,18.375,0,1,1,5
