CargingEent,UserID,CPID,Connector,Startyear,StartMonth,StartDay,StartHour,StartQuarter,EndYear,EndMonth,EndDay,EndHour,EndQuarter,TotalKW,Cost,Site,Group,Model
7751157,601838,50914,1,2018,9,6,23,55,2018,9,7,7,3,22,0,1,1,1
7751142,604982,50349,2,2018,9,6,23,38,2018,9,6,23,48,7,0,2,1,2
7751140,603522,50911,2,2018,9,6,23,36,2018,9,6,23,56,8,0,3,1,3
7751138,604735,50268,1,2018,9,6,23,34,2018,9,7,15,11,5,0,4,1,4
7751136,604732,50268,2,2018,9,6,23,30,2018,9,8,23,26,7,0,4,1,4
7751125,608230,51548,2,2018,9,6,23,14,2018,9,6,23,21,4,0,1,1,5
7751124,503829,51086,2,2018,9,6,23,14,2018,9,7,19,30,2,0,5,1,1
7751116,606666,51549,2,2018,9,6,23,0,2018,9,6,23,14,10,0,1,1,5
7751112,608557,51547,2,2018,9,6,22,56,2018,9,6,23,56,32,0,1,1,5
7751099,518009,51421,2,2018,9,6,22,45,2018,9,6,23,12,13,0,6,2,5
7751092,519478,51548,2,2018,9,6,22,34,2018,9,6,23,1,10,0,1,1,5
7751076,608039,51422,2,2018,9,6,22,17,2018,9,6,23,1,18,0,6,1,5
7751069,607224,51548,2,2018,9,6,22,11,2018,9,6,22,25,7,0,1,1,5
7751062,605355,51426,2,2018,9,6,22,4,2018,9,6,22,23,9,0,6,2,5
7751046,603906,50841,2,2018,9,6,21,52,2018,9,7,7,24,6,0,7,1,4
7751042,607224,51548,2,2018,9,6,21,50,2018,9,6,22,0,7,0,1,1,5
7751026,604830,50316,2,2018,9,6,21,44,2018,9,7,6,55,28,0,8,1,4
7751023,604244,51549,2,2018,9,6,21,41,2018,9,6,22,26,18,0,1,1,5
7751018,604830,50316,2,2018,9,6,21,40,2018,9,6,21,41,0,0,8,1,4
7750987,604773,50841,1,2018,9,6,21,17,2018,9,7,8,13,12,0,7,1,4
7750967,604832,50267,2,2018,9,6,21,5,2018,9,7,7,27,3,0,9,1,4
7750946,603680,51426,2,2018,9,6,20,54,2018,9,6,21,36,13,0,6,2,5
7750921,603522,50911,2,2018,9,6,20,37,2018,9,6,20,45,5,0,3,1,3
7751052,601838,50912,2,2018,9,6,20,30,2018,9,6,22,30,4,0,1,1,1
7750886,607613,50692,2,2018,9,6,20,16,2018,9,6,20,44,12,0,10,1,3
7750881,608230,51550,2,2018,9,6,20,13,2018,9,6,20,36,10,0,1,1,5
7750859,605642,50692,2,2018,9,6,20,2,2018,9,6,20,14,9,0,10,1,3
7750856,608033,51422,2,2018,9,6,20,1,2018,9,6,20,50,17,0,6,1,5
7750828,607097,51549,2,2018,9,6,19,48,2018,9,6,20,32,25,0,1,1,5
7750822,607855,51426,2,2018,9,6,19,44,2018,9,6,20,5,12,0,6,2,5
7750815,607753,51421,2,2018,9,6,19,42,2018,9,6,19,57,11,0,6,2,5
7750810,601535,51548,2,2018,9,6,19,40,2018,9,6,20,22,10,0,1,1,5
7750795,518009,51423,2,2018,9,6,19,35,2018,9,6,19,58,12,0,6,2,5
7750740,603522,50911,2,2018,9,6,19,23,2018,9,6,19,31,5,0,3,1,3
7750670,607529,51547,2,2018,9,6,19,6,2018,9,6,20,6,17,0,1,1,5
7750667,515623,51422,2,2018,9,6,19,4,2018,9,6,19,4,0,0,6,1,5
7750664,518009,51426,2,2018,9,6,19,3,2018,9,6,19,11,5,0,6,2,5
7750636,605073,50911,2,2018,9,6,18,58,2018,9,6,19,2,2,0,3,1,3
7750637,607486,51548,2,2018,9,6,18,57,2018,9,6,19,15,7,0,1,1,5
7750632,515623,51422,2,2018,9,6,18,56,2018,9,6,19,3,0,0,6,1,5
7750592,607263,51424,2,2018,9,6,18,45,2018,9,6,19,9,14,0,6,2,5
7750588,519478,51425,2,2018,9,6,18,44,2018,9,6,19,9,8,0,6,2,5
7750584,605995,50911,1,2018,9,6,18,43,2018,9,6,19,3,9,0,3,1,3
7750564,606219,50315,1,2018,9,6,18,37,2018,9,6,21,21,9,0,2,1,4
7750548,606257,51426,2,2018,9,6,18,34,2018,9,6,19,1,7,0,6,2,5
7750544,605081,51423,2,2018,9,6,18,33,2018,9,6,19,7,12,0,6,2,5
7750523,604727,50262,1,2018,9,6,18,29,2018,9,7,13,29,10,0,11,3,4
7750522,607529,51549,2,2018,9,6,18,29,2018,9,6,18,50,17,0,1,1,5
7750518,607173,51547,2,2018,9,6,18,28,2018,9,6,18,50,11,0,1,1,5
7750502,608670,50911,2,2018,9,6,18,21,2018,9,6,18,48,6,0,3,1,3
7750496,608231,51425,2,2018,9,6,18,20,2018,9,6,18,42,13,0,6,2,5
7750483,606177,51424,2,2018,9,6,18,16,2018,9,6,18,43,18,0,6,2,5
7750482,603701,51421,2,2018,9,6,18,16,2018,9,6,19,5,22,0,6,2,5
7750466,606842,50843,1,2018,9,6,18,13,2018,9,7,5,38,23,0,12,1,4
7750445,515623,51422,2,2018,9,6,18,3,2018,9,6,18,56,24,0,6,1,5
7750442,518450,51547,2,2018,9,6,18,3,2018,9,6,18,15,6,0,1,1,5
7750437,503829,51086,2,2018,9,6,18,0,2018,9,6,20,51,6,0,5,1,1
7750428,601495,50692,2,2018,9,6,17,57,2018,9,6,18,24,16,0,10,1,3
7750431,503829,51086,2,2018,9,6,17,57,2018,9,6,17,59,0,0,5,1,1
7750417,606356,50910,2,2018,9,6,17,53,2018,9,6,18,34,1,0,13,1,1
7750400,608692,51548,2,2018,9,6,17,47,2018,9,6,18,18,20,0,1,1,5
7750350,608512,51421,2,2018,9,6,17,31,2018,9,6,18,3,22,0,6,2,5
7750293,603522,50911,2,2018,9,6,17,15,2018,9,6,17,26,8,0,3,1,3
7750292,606909,51548,2,2018,9,6,17,14,2018,9,6,17,35,17,0,1,1,5
7750288,605235,51422,2,2018,9,6,17,13,2018,9,6,17,54,10,0,6,1,5
7750285,602859,51087,2,2018,9,6,17,12,2018,9,6,18,1,10,0,3,1,4
7750284,608467,51550,2,2018,9,6,17,12,2018,9,6,18,1,14,0,1,1,5
7750280,603680,51424,2,2018,9,6,17,11,2018,9,6,17,46,7,0,6,2,5
7750273,607294,51087,1,2018,9,6,17,10,2018,9,6,19,11,7,0,3,1,4
7750264,608230,51549,2,2018,9,6,17,7,2018,9,6,17,35,10,0,1,1,5
7750261,604775,50263,1,2018,9,6,17,5,2018,9,7,11,3,0,0,14,4,4
7750239,607735,51547,2,2018,9,6,16,56,2018,9,6,17,29,15,0,1,1,5
7750234,605355,51426,2,2018,9,6,16,55,2018,9,6,17,38,18,0,6,2,5
7750215,608425,51422,2,2018,9,6,16,50,2018,9,6,17,8,14,0,6,1,5
7750201,604802,50269,2,2018,9,6,16,47,2018,9,7,10,57,12,0,15,1,4
7750200,607224,51548,2,2018,9,6,16,47,2018,9,6,17,13,14,0,1,1,5
7750198,604791,51356,1,2018,9,6,16,47,2018,9,7,12,24,19,0,16,1,4
7750147,604760,50240,2,2018,9,6,16,26,2018,9,7,14,6,11,0,16,1,4
7750144,607670,51088,1,2018,9,6,16,25,2018,9,6,19,10,5,0,16,1,4
7750135,605086,50692,2,2018,9,6,16,21,2018,9,6,16,58,15,0,10,1,3
7750123,607912,50692,1,2018,9,6,16,18,2018,9,6,16,57,5,0,10,1,3
7750092,605076,51425,2,2018,9,6,16,10,2018,9,6,16,23,5,0,6,2,5
7750068,607486,51421,2,2018,9,6,16,4,2018,9,6,16,35,12,0,6,2,5
7750061,607097,51548,2,2018,9,6,16,2,2018,9,6,16,25,8,0,1,1,5
7750050,606260,51547,2,2018,9,6,15,58,2018,9,6,16,28,19,0,1,1,5
7750048,602821,51549,2,2018,9,6,15,57,2018,9,6,16,11,6,0,1,1,5
7750028,604739,51200,1,2018,9,6,15,52,2018,9,7,9,22,4,0,17,1,6
7750013,518466,51088,2,2018,9,6,15,49,2018,9,6,17,48,4,0,16,1,4
7750005,604775,50263,2,2018,9,6,15,45,2018,9,6,16,53,0,0,14,4,4
7749988,602875,50911,2,2018,9,6,15,41,2018,9,6,16,18,10,0,3,1,3
7749972,604733,51201,1,2018,9,6,15,36,2018,9,6,15,57,1,0,17,1,6
7749965,607294,51426,2,2018,9,6,15,33,2018,9,6,15,50,9,0,6,2,5
7749950,604752,51199,2,2018,9,6,15,28,2018,9,7,9,22,8,0,17,1,6
7749948,603475,51548,2,2018,9,6,15,28,2018,9,6,15,56,7,0,1,1,5
7749932,602380,50315,2,2018,9,6,15,24,2018,9,6,15,34,1,0,2,1,4
