BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Day in a week),P2(Holiday or not),Charge/Discharge[kwh],
1,2018,06,09,23,2,0,0,8.655000,
1,2018,06,09,23,3,0,0,6.647641,
1,2018,06,10,00,0,0,0,0.007924,
1,2018,06,10,00,1,0,0,0.007924,
1,2018,06,10,00,2,0,0,0.007924,
1,2018,06,10,00,3,0,0,0.007924,
1,2018,06,10,01,0,0,0,0.007924,
1,2018,06,10,01,1,0,0,0.007924,
1,2018,06,10,01,2,0,0,0.007924,
1,2018,06,10,01,3,0,0,0.007924,
1,2018,06,10,02,0,0,0,0.007924,
1,2018,06,10,02,1,0,0,0.007924,
1,2018,06,10,02,2,0,0,0.007924,
1,2018,06,10,02,3,0,0,0.007924,
1,2018,06,10,03,0,0,0,0.007924,
1,2018,06,10,03,1,0,0,0.007924,
1,2018,06,10,03,2,0,0,0.007924,
1,2018,06,10,03,3,0,0,0.007924,
1,2018,06,10,04,0,0,0,0.007924,
1,2018,06,10,04,1,0,0,0.007924,
1,2018,06,10,04,2,0,0,0.007924,
1,2018,06,10,04,3,0,0,0.007924,
1,2018,06,10,05,0,0,0,0.007924,
1,2018,06,10,05,1,0,0,0.007924,
1,2018,06,10,05,2,0,0,0.007924,
1,2018,06,10,05,3,0,0,0.007924,
1,2018,06,10,06,0,0,0,0.007924,
1,2018,06,10,06,1,0,0,0.007924,
1,2018,06,10,06,2,0,0,0.007924,
1,2018,06,10,06,3,0,0,0.007924,
1,2018,06,10,07,0,0,0,0.007924,
1,2018,06,10,07,1,0,0,0.007924,
1,2018,06,10,07,2,0,0,0.007924,
1,2018,06,10,07,3,0,0,0.007924,
1,2018,06,10,08,0,0,0,0.007924,
1,2018,06,10,08,1,0,0,0.007924,
1,2018,06,10,08,2,0,0,0.007924,
1,2018,06,10,08,3,0,0,0.007924,
1,2018,06,10,09,0,0,0,0.007924,
1,2018,06,10,09,1,0,0,0.007924,
1,2018,06,10,09,2,0,0,0.007924,
1,2018,06,10,09,3,0,0,0.007924,
1,2018,06,10,10,0,0,0,0.007924,
1,2018,06,10,10,1,0,0,0.007924,
1,2018,06,10,10,2,0,0,0.007924,
1,2018,06,10,10,3,0,0,0.007924,
1,2018,06,10,11,0,0,0,0.007924,
1,2018,06,10,11,1,0,0,0.007924,
1,2018,06,10,11,2,0,0,0.007924,
1,2018,06,10,11,3,0,0,0.007924,
1,2018,06,10,12,0,0,0,0.007924,
1,2018,06,10,12,1,0,0,0.007924,
1,2018,06,10,12,2,0,0,0.007924,
1,2018,06,10,12,3,0,0,0.007924,
1,2018,06,10,13,0,0,0,0.007924,
1,2018,06,10,13,1,0,0,0.007924,
1,2018,06,10,13,2,0,0,0.007924,
1,2018,06,10,13,3,0,0,0.007924,
1,2018,06,10,14,0,0,0,0.007924,
1,2018,06,10,14,1,0,0,0.007924,
1,2018,06,10,14,2,0,0,0.007924,
1,2018,06,10,14,3,0,0,0.007924,
1,2018,06,10,15,0,0,0,0.007924,
1,2018,06,10,15,1,0,0,0.007924,
1,2018,06,10,15,2,0,0,0.007924,
1,2018,06,10,15,3,0,0,0.007924,
1,2018,06,10,16,0,0,0,0.007924,
1,2018,06,10,16,1,0,0,0.007924,
1,2018,06,10,16,2,0,0,0.007924,
1,2018,06,10,16,3,0,0,0.007924,
1,2018,06,10,17,0,0,0,0.007924,
1,2018,06,10,17,1,0,0,0.007924,
1,2018,06,10,17,2,0,0,0.007924,
1,2018,06,10,17,3,0,0,0.007924,
1,2018,06,10,18,0,0,0,0.007924,
1,2018,06,10,18,1,0,0,0.007924,
1,2018,06,10,18,2,0,0,0.007924,
1,2018,06,10,18,3,0,0,0.007924,
1,2018,06,10,19,0,0,0,0.007924,
1,2018,06,10,19,1,0,0,0.007924,
1,2018,06,10,19,2,0,0,0.007924,
1,2018,06,10,19,3,0,0,0.007924,
1,2018,06,10,20,0,0,0,0.007924,
1,2018,06,10,20,1,0,0,0.007924,
1,2018,06,10,20,2,0,0,0.007924,
1,2018,06,10,20,3,0,0,0.007924,
1,2018,06,10,21,0,0,0,0.007924,
1,2018,06,10,21,1,0,0,0.007924,
1,2018,06,10,21,2,0,0,0.007924,
1,2018,06,10,21,3,0,0,0.007924,
1,2018,06,10,22,0,0,0,0.007924,
1,2018,06,10,22,1,0,0,0.007924,
1,2018,06,10,22,2,0,0,0.007924,
1,2018,06,10,22,3,0,0,0.007924,
1,2018,06,10,23,0,0,0,0.007924,
1,2018,06,10,23,1,0,0,0.007924,
1,2018,06,10,23,2,0,0,0.007924,
1,2018,06,10,23,3,0,0,0.007924,
1,2018,06,11,00,0,0,0,0.007924,
1,2018,06,11,00,1,0,0,0.007924,
1,2018,06,11,00,2,0,0,0.007924,
1,2018,06,11,00,3,0,0,0.007924,
1,2018,06,11,01,0,0,0,0.007924,
1,2018,06,11,01,1,0,0,0.007924,
1,2018,06,11,01,2,0,0,0.007924,
1,2018,06,11,01,3,0,0,0.007924,
1,2018,06,11,02,0,0,0,0.007924,
1,2018,06,11,02,1,0,0,0.007924,
1,2018,06,11,02,2,0,0,0.007924,
1,2018,06,11,02,3,0,0,0.007924,
