BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(ChargingPointID),Charge/Discharge[kwh],SOC[%]
1,2018,9,2,0,0,0,0,51548,0.7824375,0
1,2018,9,2,0,0,0,0,51547,2.46,0
1,2018,9,2,0,0,0,0,51422,7.218181818,0
1,2018,9,2,0,0,0,0,51549,5.178193548,0
1,2018,9,2,0,0,0,0,50349,3.676551724,0
1,2018,9,2,0,0,0,0,51421,7.716122449,0
1,2018,9,2,0,0,0,0,51426,2.70625,0
1,2018,9,2,0,0,0,0,51429,0.076938878,0
1,2018,9,2,0,0,0,0,50316,0.534699454,0
1,2018,9,2,0,0,0,0,50914,0.191139706,0
1,2018,9,2,0,0,0,0,50912,0.336718062,0
1,2018,9,2,0,0,0,0,50910,0.07275,0
1,2018,9,2,0,0,0,0,50272,0.440713324,0
1,2018,9,2,0,0,0,0,50240,0.013190407,0
1,2018,9,2,0,0,0,0,50841,0.018781513,0
1,2018,9,2,0,0,0,0,50240,0.022771588,0
1,2018,9,2,0,0,0,0,51086,0.010357315,0
1,2018,9,2,0,0,0,0,51203,0.009306707,0
1,2018,9,2,0,0,0,0,50261,0,0
1,2018,9,2,0,0,0,0,50268,0.07123431,0
1,2018,9,2,0,0,0,0,51201,0.03864223,0
1,2018,9,2,0,0,0,0,50238,0.00058698,0
1,2018,9,2,0,0,0,0,51200,0.003694949,0
1,2018,9,2,0,0,0,0,50236,0,0
1,2018,9,2,0,0,0,0,51202,0,0
1,2018,9,2,0,0,0,0,51198,0.006077001,0
1,2018,9,2,0,0,0,0,50234,0,0
1,2018,9,2,0,0,0,0,51199,0.013455772,0
1,2018,9,2,0,0,0,0,50271,0.036889693,0
1,2018,9,2,0,0,0,0,50269,0.032013081,0
1,2018,9,2,0,0,0,0,50522,0.015044494,0
1,2018,9,2,0,0,0,0,50264,0.012202015,0
1,2018,9,2,0,0,0,0,50263,0.040496215,0
1,2018,9,2,0,0,0,0,50267,0.024265166,0
1,2018,9,2,0,0,0,0,50267,0,0
1,2018,9,2,0,0,0,0,51201,0.007501786,0
1,2018,9,2,0,0,0,0,51200,0.022210377,0
1,2018,9,2,0,0,0,0,51198,0.037691327,0
1,2018,9,2,0,0,0,0,50263,0.004205607,0
1,2018,9,2,0,0,0,0,51202,0.005520982,0
