BuildingIndex,CustomerID,Year,Month,Day,Hour,Quarter,P1(DayInWeek),P2(HolidayOrNot),P3(HighestTemp),P4(Weather)
1,1,2018,9,3,1,2,1,0,27.5,4
1,1,2018,9,3,1,3,1,0,27.5,4
1,1,2018,9,3,2,0,1,0,27.5,4
1,1,2018,9,3,2,1,1,0,27.5,4
1,1,2018,9,3,2,2,1,0,27.5,4
1,1,2018,9,3,2,3,1,0,27.5,4
1,1,2018,9,3,3,0,1,0,27.5,4
1,1,2018,9,3,3,1,1,0,27.5,4
1,1,2018,9,3,3,2,1,0,27.5,4
1,1,2018,9,3,3,3,1,0,27.5,4
1,1,2018,9,3,4,0,1,0,27.5,4
1,1,2018,9,3,4,1,1,0,27.5,4
1,1,2018,9,3,4,2,1,0,27.5,4
1,1,2018,9,3,4,3,1,0,27.5,4
1,1,2018,9,3,5,0,1,0,27.5,4
1,1,2018,9,3,5,1,1,0,27.5,4
1,1,2018,9,3,5,2,1,0,27.5,4
1,1,2018,9,3,5,3,1,0,27.5,4
1,1,2018,9,3,6,0,1,0,27.5,4
1,1,2018,9,3,6,1,1,0,27.5,4
1,1,2018,9,3,6,2,1,0,27.5,4
1,1,2018,9,3,6,3,1,0,27.5,4
1,1,2018,9,3,7,0,1,0,27.5,4
1,1,2018,9,3,7,1,1,0,27.5,4
1,1,2018,9,3,7,2,1,0,27.5,4
1,1,2018,9,3,7,3,1,0,27.5,4
1,1,2018,9,3,8,0,1,0,27.5,4
1,1,2018,9,3,8,1,1,0,27.5,4
1,1,2018,9,3,8,2,1,0,27.5,4
1,1,2018,9,3,8,3,1,0,27.5,4
1,1,2018,9,3,9,0,1,0,27.5,4
1,1,2018,9,3,9,1,1,0,27.5,4
1,1,2018,9,3,9,2,1,0,27.5,4
1,1,2018,9,3,9,3,1,0,27.5,4
1,1,2018,9,3,10,0,1,0,27.5,4
1,1,2018,9,3,10,1,1,0,27.5,4
1,1,2018,9,3,10,2,1,0,27.5,4
1,1,2018,9,3,10,3,1,0,27.5,4
1,1,2018,9,3,11,0,1,0,27.5,4
1,1,2018,9,3,11,1,1,0,27.5,4
1,1,2018,9,3,11,2,1,0,27.5,4
1,1,2018,9,3,11,3,1,0,27.5,4
1,1,2018,9,3,12,0,1,0,27.5,4
1,1,2018,9,3,12,1,1,0,27.5,4
1,1,2018,9,3,12,2,1,0,27.5,4
1,1,2018,9,3,12,3,1,0,27.5,4
1,1,2018,9,3,13,0,1,0,27.5,4
1,1,2018,9,3,13,1,1,0,27.5,4
1,1,2018,9,3,13,2,1,0,27.5,4
1,1,2018,9,3,13,3,1,0,27.5,4
1,1,2018,9,3,14,0,1,0,27.5,4
1,1,2018,9,3,14,1,1,0,27.5,4
1,1,2018,9,3,14,2,1,0,27.5,4
1,1,2018,9,3,14,3,1,0,27.5,4
1,1,2018,9,3,15,0,1,0,27.5,4
1,1,2018,9,3,15,1,1,0,27.5,4
1,1,2018,9,3,15,2,1,0,27.5,4
1,1,2018,9,3,15,3,1,0,27.5,4
1,1,2018,9,3,16,0,1,0,27.5,4
1,1,2018,9,3,16,1,1,0,27.5,4
1,1,2018,9,3,16,2,1,0,27.5,4
1,1,2018,9,3,16,3,1,0,27.5,4
1,1,2018,9,3,17,0,1,0,27.5,4
1,1,2018,9,3,17,1,1,0,27.5,4
1,1,2018,9,3,17,2,1,0,27.5,4
1,1,2018,9,3,17,3,1,0,27.5,4
1,1,2018,9,3,18,0,1,0,27.5,4
1,1,2018,9,3,18,1,1,0,27.5,4
1,1,2018,9,3,18,2,1,0,27.5,4
1,1,2018,9,3,18,3,1,0,27.5,4
1,1,2018,9,3,19,0,1,0,27.5,4
1,1,2018,9,3,19,1,1,0,27.5,4
1,1,2018,9,3,19,2,1,0,27.5,4
1,1,2018,9,3,19,3,1,0,27.5,4
1,1,2018,9,3,20,0,1,0,27.5,4
1,1,2018,9,3,20,1,1,0,27.5,4
1,1,2018,9,3,20,2,1,0,27.5,4
1,1,2018,9,3,20,3,1,0,27.5,4
1,1,2018,9,3,21,0,1,0,27.5,4
1,1,2018,9,3,21,1,1,0,27.5,4
1,1,2018,9,3,21,2,1,0,27.5,4
1,1,2018,9,3,21,3,1,0,27.5,4
1,1,2018,9,3,22,0,1,0,27.5,4
1,1,2018,9,3,22,1,1,0,27.5,4
1,1,2018,9,3,22,2,1,0,27.5,4
1,1,2018,9,3,22,3,1,0,27.5,4
1,1,2018,9,3,23,0,1,0,27.5,4
1,1,2018,9,3,23,1,1,0,27.5,4
1,1,2018,9,3,23,2,1,0,27.5,4
1,1,2018,9,3,23,3,1,0,27.5,4
1,1,2018,9,4,0,0,1,0,22.1,3
1,1,2018,9,4,0,1,1,0,22.1,3
1,1,2018,9,4,0,2,1,0,22.1,3
1,1,2018,9,4,0,3,1,0,22.1,3
1,1,2018,9,4,1,0,1,0,22.1,3
1,1,2018,9,4,1,1,1,0,22.1,3
