BuildingIndex,Year,Month,Day,Hour,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2017,1,1,1,0,0,59.113675,0
1,2017,1,1,2,0,0,86.165592,0
1,2017,1,1,3,0,0,89.822381,0
1,2017,1,1,4,0,0,84.158702,0
1,2017,1,1,5,0,0,81.820324,0
1,2017,1,1,6,0,0,15.222878,0
1,2017,1,1,7,0,0,30.019108,0
1,2017,1,1,8,0,0,84.158702,0
1,2017,1,1,9,0,0,86.348957,0
1,2017,1,1,10,0,0,18.650957,0
1,2017,1,1,11,0,0,21.968604,0
1,2017,1,1,12,0,0,97.127714,0
1,2017,1,1,13,0,0,71.744345,0
1,2017,1,1,14,0,0,58.710494,0
1,2017,1,1,15,0,0,44.031698,0
1,2017,1,1,16,0,0,91.994854,0
1,2017,1,1,17,0,0,22.780752,0
1,2017,1,1,18,0,0,12.911842,0
1,2017,1,1,19,0,0,46.037101,0
1,2017,1,1,20,0,0,121.159778,0
1,2017,1,1,21,0,0,70.267145,0
1,2017,1,1,22,0,0,63.309868,0
1,2017,1,1,23,0,0,109.626134,0
1,2017,1,2,0,0,0,91.994854,0
1,2017,1,2,1,0,0,60.451453,0
1,2017,1,2,2,0,0,130.92254,0
1,2017,1,2,3,0,0,0.139472,0
1,2017,1,2,4,0,0,86.165592,0
1,2017,1,2,5,0,0,14.038668,0
1,2017,1,2,6,0,0,59.113675,0
1,2017,1,2,7,0,0,8.402328,0
1,2017,1,2,8,0,0,80.480547,0
1,2017,1,2,9,0,0,95.676869,0
1,2017,1,2,10,0,0,43.509902,0
1,2017,1,2,11,0,0,12.395204,0
1,2017,1,2,12,0,0,73.655697,0
1,2017,1,2,13,0,0,74.423699,0
1,2017,1,2,14,0,0,36.349888,0
1,2017,1,2,15,0,0,35.147059,0
1,2017,1,2,16,0,0,41.445457,0
1,2017,1,2,17,0,0,34.500199,0
1,2017,1,2,18,0,0,75.59113,0
1,2017,1,2,19,0,0,102.61016,0
1,2017,1,2,20,0,0,73.330673,0
1,2017,1,2,21,0,0,14.144084,0
1,2017,1,2,22,0,0,92.743188,0
1,2017,1,2,23,0,0,121.159778,0
1,2017,1,3,0,0,0,91.994854,0
1,2017,1,3,1,0,0,50.499768,0
1,2017,1,3,2,0,0,124.855978,0
1,2017,1,3,3,0,0,2.38096,0
1,2017,1,3,4,0,0,44.031698,0
1,2017,1,3,5,0,0,100.019303,0
1,2017,1,3,6,0,0,62.094303,0
1,2017,1,3,7,0,0,34.967295,0
1,2017,1,3,8,0,0,44.226123,0
1,2017,1,3,9,0,0,97.317656,0
1,2017,1,3,10,0,0,96.672111,0
1,2017,1,3,11,0,0,134.193421,0
1,2017,1,3,12,0,0,14.01592,0
1,2017,1,3,13,0,0,84.158702,0
1,2017,1,3,14,0,0,89.822381,0
1,2017,1,3,15,0,0,22.348868,0
1,2017,1,3,16,0,0,21.725992,0
1,2017,1,3,17,0,0,101.440456,0
1,2017,1,3,18,0,0,31.763233,0
1,2017,1,3,19,0,0,93.740506,0
1,2017,1,3,20,0,0,40.103285,0
1,2017,1,3,21,0,0,64.856292,0
1,2017,1,3,22,0,0,72.749172,0
1,2017,1,3,23,0,0,123.015626,0
1,2017,1,4,0,0,0,25.69094,0
1,2017,1,4,1,0,0,80.258882,0
1,2017,1,4,2,0,0,97.116656,0
1,2017,1,4,3,0,0,108.866304,0
1,2017,1,4,4,0,0,123.015626,0
1,2017,1,4,5,0,0,30.30471,0
1,2017,1,4,6,0,0,62.094303,0
1,2017,1,4,7,0,0,113.976551,0
1,2017,1,4,8,0,0,33.214275,0
1,2017,1,4,9,0,0,60.275423,0
1,2017,1,4,10,0,0,70.267145,0
1,2017,1,4,11,0,0,14.144084,0
1,2017,1,4,12,0,0,74.423699,0
1,2017,1,4,13,0,0,104.776924,0
1,2017,1,4,14,0,0,32.024363,0
1,2017,1,4,15,0,0,32.198643,0
1,2017,1,4,16,0,0,103.360788,0
1,2017,1,4,17,0,0,66.478857,0
1,2017,1,4,18,0,0,46.037101,0
1,2017,1,4,19,0,0,35.720813,0
1,2017,1,4,20,0,0,104.776924,0
1,2017,1,4,21,0,0,101.045939,0
1,2017,1,4,22,0,0,0.896556,0
1,2017,1,4,23,0,0,85.209291,0
1,2017,1,5,0,0,0,19.20528,0
1,2017,1,5,1,0,0,35.147059,0
1,2017,1,5,2,0,0,40.484557,0
1,2017,1,5,3,0,0,103.360788,0
1,2017,1,5,4,0,0,45.723516,0
1,2017,1,5,5,0,0,122.632743,0
1,2017,1,5,6,0,0,89.729833,0
1,2017,1,5,7,0,0,91.994854,0
1,2017,1,5,8,0,0,78.464683,0
1,2017,1,5,9,0,0,58.095337,0
1,2017,1,5,10,0,0,93.686119,0
1,2017,1,5,11,0,0,35.89485,0
1,2017,1,5,12,0,0,63.910927,0
1,2017,1,5,13,0,0,71.744345,0
1,2017,1,5,14,0,0,119.646383,0
1,2017,1,5,15,0,0,41.328072,0
1,2017,1,5,16,0,0,121.565269,0
1,2017,1,5,17,0,0,72.950823,0
1,2017,1,5,18,0,0,63.838174,0
1,2017,1,5,19,0,0,89.705368,0
1,2017,1,5,20,0,0,61.020425,0
1,2017,1,5,21,0,0,44.031698,0
1,2017,1,5,22,0,0,0,0
1,2017,1,5,23,0,0,47.851456,0
1,2017,1,6,0,0,0,109.465117,0
1,2017,1,6,1,0,0,17.884135,0
1,2017,1,6,2,0,0,12.754748,0
1,2017,1,6,3,0,0,75.160966,0
1,2017,1,6,4,0,0,101.440456,0
1,2017,1,6,5,0,0,18.650957,0
1,2017,1,6,6,0,0,144.290975,0
1,2017,1,6,7,0,0,80.048063,0
1,2017,1,6,8,0,0,57.90612,0
1,2017,1,6,9,0,0,89.729833,0
1,2017,1,6,10,0,0,18.463332,0
1,2017,1,6,11,0,0,100.752904,0
1,2017,1,6,12,0,0,17.884135,0
1,2017,1,6,13,0,0,104.045265,0
1,2017,1,6,14,0,0,113.976551,0
1,2017,1,6,15,0,0,18.463332,0
1,2017,1,6,16,0,0,20.186588,0
1,2017,1,6,17,0,0,138.03071,0
1,2017,1,6,18,0,0,123.015626,0
1,2017,1,6,19,0,0,92.354418,0
1,2017,1,6,20,0,0,63.879292,0
1,2017,1,6,21,0,0,63.838174,0
1,2017,1,6,22,0,0,35.016418,0
1,2017,1,6,23,0,0,25.352962,0
1,2017,1,7,0,0,0,57.90612,0
1,2017,1,7,1,0,0,35.016418,0
