BuildingIndex,Year,Month,Day,Hour,Quarter,Hoursin,Hourcos,ChargeDischargeKwh,SOCPercent
1,2017,9,1,5,2,0.973578903,0.22835087,4.135385,0
1,2017,9,1,5,3,0.977045574,0.213030386,5.169231,0
1,2017,9,1,6,0,1,6.12574E-17,5.33362,0
1,2017,9,1,6,1,0.999876632,-0.015707317,5.591765,0
1,2017,9,1,6,2,0.99950656,-0.031410759,7.827778,0
1,2017,9,1,6,3,0.998889875,-0.047106451,0.982222,0
1,2017,9,1,7,0,0.965925826,-0.258819045,0.628678,0
1,2017,9,1,7,1,0.96174131,-0.273959219,4.435847,0
1,2017,9,1,7,2,0.957319498,-0.289031797,4.438015,0
1,2017,9,1,7,3,0.952661481,-0.304033061,7.231861,0
1,2017,9,1,8,0,0.866025404,-0.5,1.499197,0
1,2017,9,1,8,1,0.858064906,-0.513541252,2.427624,0
1,2017,9,1,8,2,0.849892693,-0.526955795,2.579716,0
1,2017,9,1,8,3,0.841510782,-0.54024032,4.516711,0
1,2017,9,1,9,0,0.707106781,-0.707106781,8.232035,0
1,2017,9,1,9,1,0.695912797,-0.718126298,11.190013,0
1,2017,9,1,9,2,0.684547106,-0.728968627,19.774865,0
1,2017,9,1,9,3,0.673012514,-0.739631095,17.128399,0
1,2017,9,1,10,0,0.5,-0.866025404,25.022402,0
1,2017,9,1,10,1,0.48633538,-0.873772223,22.720351,0
1,2017,9,1,10,2,0.472550765,-0.881303452,24.080489,0
1,2017,9,1,10,3,0.458649554,-0.888617233,13.531585,0
1,2017,9,1,11,0,0.258819045,-0.965925826,16.035048,0
1,2017,9,1,11,1,0.243615012,-0.969872015,17.629377,0
1,2017,9,1,11,2,0.22835087,-0.973578903,18.499643,0
1,2017,9,1,11,3,0.213030386,-0.977045574,12.957477,0
1,2017,9,1,12,0,1.22515E-16,-1,18.146812,0
1,2017,9,1,12,1,-0.015707317,-0.999876632,22.695824,0
1,2017,9,1,12,2,-0.031410759,-0.99950656,18.220104,0
1,2017,9,1,12,3,-0.047106451,-0.998889875,13.675253,0
1,2017,9,1,13,0,-0.258819045,-0.965925826,17.230368,0
1,2017,9,1,13,1,-0.273959219,-0.96174131,21.627937,0
1,2017,9,1,13,2,-0.289031797,-0.957319498,12.573814,0
1,2017,9,1,13,3,-0.304033061,-0.952661481,10.420225,0
1,2017,9,1,14,0,-0.5,-0.866025404,16.239766,0
1,2017,9,1,14,1,-0.513541252,-0.858064906,22.724447,0
1,2017,9,1,14,2,-0.526955795,-0.849892693,27.185117,0
1,2017,9,1,14,3,-0.54024032,-0.841510782,25.656616,0
1,2017,9,1,15,0,-0.707106781,-0.707106781,10.021255,0
1,2017,9,1,15,1,-0.718126298,-0.695912797,10.832063,0
1,2017,9,1,15,2,-0.728968627,-0.684547106,17.146704,0
1,2017,9,1,15,3,-0.739631095,-0.673012514,14.008547,0
1,2017,9,1,16,0,-0.866025404,-0.5,17.619256,0
1,2017,9,1,16,1,-0.873772223,-0.48633538,28.472024,0
1,2017,9,1,16,2,-0.881303452,-0.472550765,20.655371,0
1,2017,9,1,16,3,-0.888617233,-0.458649554,16.468765,0
1,2017,9,1,17,0,-0.965925826,-0.258819045,12.159648,0
1,2017,9,1,17,1,-0.969872015,-0.243615012,9.649744,0
1,2017,9,1,17,2,-0.973578903,-0.22835087,9.712818,0
1,2017,9,1,17,3,-0.977045574,-0.213030386,9.508399,0
1,2017,9,1,18,0,-1,-1.83772E-16,12.99281,0
1,2017,9,1,18,1,-0.999876632,0.015707317,9.339585,0
1,2017,9,1,18,2,-0.99950656,0.031410759,5.491997,0
1,2017,9,1,18,3,-0.998889875,0.047106451,14.337339,0
1,2017,9,1,19,0,-0.965925826,0.258819045,11.405339,0
1,2017,9,1,19,1,-0.96174131,0.273959219,4.844829,0
1,2017,9,1,19,2,-0.957319498,0.289031797,2.199108,0
1,2017,9,1,19,3,-0.952661481,0.304033061,17.941078,0
1,2017,9,1,20,0,-0.866025404,0.5,15.687139,0
1,2017,9,1,20,1,-0.858064906,0.513541252,5.409775,0
1,2017,9,1,20,2,-0.849892693,0.526955795,7.420445,0
1,2017,9,1,20,3,-0.841510782,0.54024032,11.886211,0
1,2017,9,1,21,0,-0.707106781,0.707106781,22.67126,0
1,2017,9,1,21,1,-0.695912797,0.718126298,23.214383,0
1,2017,9,1,21,2,-0.684547106,0.728968627,14.240952,0
1,2017,9,1,21,3,-0.673012514,0.739631095,18.424797,0
1,2017,9,1,22,0,-0.5,0.866025404,9.754382,0
1,2017,9,1,22,1,-0.48633538,0.873772223,23.447973,0
1,2017,9,1,22,2,-0.472550765,0.881303452,8.800195,0
1,2017,9,1,22,3,-0.458649554,0.888617233,7.543337,0
1,2017,9,1,23,0,-0.258819045,0.965925826,14.08046,0
1,2017,9,1,23,1,-0.243615012,0.969872015,10.402652,0
1,2017,9,1,23,2,-0.22835087,0.973578903,7.02053,0
1,2017,9,1,23,3,-0.213030386,0.977045574,8.07531,0
1,2017,9,2,0,0,0,1,8.842995,0
1,2017,9,2,0,1,0.015707317,0.999876632,17.087408,0
1,2017,9,2,0,2,0.031410759,0.99950656,15.308625,0
1,2017,9,2,0,3,0.047106451,0.998889875,11.092979,0
1,2017,9,2,1,0,0.258819045,0.965925826,23.943382,0
1,2017,9,2,1,1,0.273959219,0.96174131,26.097802,0
1,2017,9,2,1,2,0.289031797,0.957319498,23.573279,0
1,2017,9,2,1,3,0.304033061,0.952661481,26.002466,0
1,2017,9,2,2,0,0.5,0.866025404,16.852124,0
1,2017,9,2,2,1,0.513541252,0.858064906,16.040994,0
1,2017,9,2,2,2,0.526955795,0.849892693,9.579523,0
1,2017,9,2,2,3,0.54024032,0.841510782,8.560123,0
1,2017,9,2,3,0,0.707106781,0.707106781,12.466523,0
1,2017,9,2,3,1,0.718126298,0.695912797,9.494301,0
1,2017,9,2,3,2,0.728968627,0.684547106,7.964459,0
1,2017,9,2,3,3,0.739631095,0.673012514,8.545094,0
1,2017,9,2,4,0,0.866025404,0.5,15.232237,0
1,2017,9,2,4,1,0.873772223,0.48633538,9.096523,0
1,2017,9,2,4,2,0.881303452,0.472550765,10.11919,0
1,2017,9,2,4,3,0.888617233,0.458649554,11.696523,0
1,2017,9,2,5,0,0.965925826,0.258819045,7.373856,0
1,2017,9,2,5,1,0.969872015,0.243615012,5.85819,0
1,2017,9,2,5,2,0.973578903,0.22835087,9.170841,0
1,2017,9,2,5,3,0.977045574,0.213030386,9.13441,0
1,2017,9,2,6,0,1,6.12574E-17,9.877743,0
1,2017,9,2,6,1,0.999876632,-0.015707317,6.867743,0
1,2017,9,2,6,2,0.99950656,-0.031410759,3.427743,0
1,2017,9,2,6,3,0.998889875,-0.047106451,10.959994,0
1,2017,9,2,7,0,0.965925826,-0.258819045,10.651153,0
1,2017,9,2,7,1,0.96174131,-0.273959219,2.068397,0
1,2017,9,2,7,2,0.957319498,-0.289031797,1.989671,0
1,2017,9,2,7,3,0.952661481,-0.304033061,3.381405,0
1,2017,9,2,8,0,0.866025404,-0.5,4.068707,0
1,2017,9,2,8,1,0.858064906,-0.513541252,7.111565,0
1,2017,9,2,8,2,0.849892693,-0.526955795,5.171045,0
1,2017,9,2,8,3,0.841510782,-0.54024032,8.592863,0
1,2017,9,2,9,0,0.707106781,-0.707106781,9.830078,0
1,2017,9,2,9,1,0.695912797,-0.718126298,23.117784,0
1,2017,9,2,9,2,0.684547106,-0.728968627,9.234798,0
1,2017,9,2,9,3,0.673012514,-0.739631095,5.116495,0
1,2017,9,2,10,0,0.5,-0.866025404,5.638071,0
1,2017,9,2,10,1,0.48633538,-0.873772223,12.358899,0
1,2017,9,2,10,2,0.472550765,-0.881303452,17.459157,0
1,2017,9,2,10,3,0.458649554,-0.888617233,18.799746,0
1,2017,9,2,11,0,0.258819045,-0.965925826,11.7362,0
1,2017,9,2,11,1,0.243615012,-0.969872015,9.158269,0
1,2017,9,2,11,2,0.22835087,-0.973578903,22.987503,0
1,2017,9,2,11,3,0.213030386,-0.977045574,12.392586,0
1,2017,9,2,12,0,1.22515E-16,-1,7.935016,0
1,2017,9,2,12,1,-0.015707317,-0.999876632,10.035311,0
1,2017,9,2,12,2,-0.031410759,-0.99950656,12.980873,0
1,2017,9,2,12,3,-0.047106451,-0.998889875,10.434903,0
1,2017,9,2,13,0,-0.258819045,-0.965925826,19.027158,0
1,2017,9,2,13,1,-0.273959219,-0.96174131,20.140862,0
1,2017,9,2,13,2,-0.289031797,-0.957319498,18.988067,0
