PIcoverRate,PIcoverRateBoot,MAPE,RMSE,PIWidth,PIWidthBoot,date
61.4583333333333,63.5416666666667,93.9564180025828,15.6550536018433,25.4616421893224,26.2395693960456,2018/08/02
51.0416666666667,53.125,83.9965686170925,18.4137734843771,25.4194068834184,26.1977913810791,2018/08/03
50,56.25,84.1379433097175,20.2213628215818,24.9285762614308,25.800693762101,2018/08/04
36.4583333333333,38.5416666666667,90.6058843191655,21.6276206649805,24.9737310850954,25.8293419248431,2018/08/05
51.0416666666667,58.3333333333333,118.968640931774,17.7857577696362,24.958528899603,25.8201183959652,2018/08/06
54.1666666666667,56.25,142.58046048159,18.7058588267118,24.9435495882494,25.803229596225,2018/08/07
51.0416666666667,58.3333333333333,83.5390508198468,18.8639678394869,24.9551257793066,25.8022706828921,2018/08/08
48.9583333333333,52.0833333333333,117.705222938528,17.4193178797096,24.9644333359621,25.8107375063825,2018/08/09
50,55.2083333333333,57.6319950008322,16.8037175664511,25.1278155000094,25.9463900792188,2018/08/10
38.5416666666667,43.75,63.0528812845218,19.7034111914354,25.3818695527837,26.1498062497128,2018/08/11
45.8333333333333,46.875,83.9259823358003,24.3510982883438,25.3666007902286,26.1270598937901,2018/08/12
47.9166666666667,53.125,86.0683942171284,19.5127296580152,25.3524517601434,26.1113673189685,2018/08/13
50,54.1666666666667,56.9306889949644,21.0225984924896,25.4720971492952,26.2250662934617,2018/08/14
29.1666666666667,30.2083333333333,101.728946945501,24.2943998013945,25.4601892090104,26.2034190502712,2018/08/15
55.2083333333333,56.25,98.0427027359421,21.0311738095253,25.4494708205983,26.197975532393,2018/08/16
51.0416666666667,57.2916666666667,67.84439917433,23.1615946964606,25.3097596944681,26.0881880601376,2018/08/17
43.75,50,58.0224817181792,21.4128081683635,25.4289224520101,26.1872963717266,2018/08/18
46.875,46.875,62.4436650495749,23.6212225594622,25.4206897402943,26.1666343662208,2018/08/19
50,55.2083333333333,74.3704763058775,22.5503785626982,25.3883252320795,26.1477267119238,2018/08/20
48.9583333333333,54.1666666666667,79.8600692703525,18.3645385565831,25.3814427776005,26.1300252189609,2018/08/21
47.9166666666667,53.125,64.402506771564,20.1839792052816,25.4066135457423,26.1601590049828,2018/08/22
54.1666666666667,58.3333333333333,78.6113952702959,18.8708255814886,25.4021275226312,26.1501598122149,2018/08/23
47.9166666666667,48.9583333333333,63.3375529519639,18.7112891429175,25.425611105289,26.1700873860437,2018/08/24
47.9166666666667,47.9166666666667,90.3884881628135,23.4366311647971,25.4240682072321,26.166642508606,2018/08/25
41.6666666666667,41.6666666666667,84.6124794188177,23.9768146941877,25.4485019598702,26.1932576849222,2018/08/26
58.3333333333333,61.4583333333333,88.5192686941207,18.4426057440333,25.4741691354953,26.2206065316987,2018/08/27
51.0416666666667,57.2916666666667,94.4710476865589,21.5553594733244,25.4224314194489,26.1688852907944,2018/08/28
47.9166666666667,55.2083333333333,80.0935865906724,15.884865502038,25.4147740425505,26.1646193888788,2018/08/29
44.7916666666667,50,83.9869554627174,21.0539104228289,25.2170430093691,25.9936506256918,2018/08/30
47.9166666666667,47.9166666666667,66.0734429247535,20.4583434334373,25.0531897585582,25.8482896173103,2018/08/31
