BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,EnergyDemand,SOC
1,2018,8,24,0,0,0,0,2.864957,0
1,2018,8,24,0,1,0,0,2.864957,0
1,2018,8,24,0,2,0,0,4.001321,0
1,2018,8,24,0,3,0,0,7.978593,0
1,2018,8,24,1,0,0,0,5.891624,0
1,2018,8,24,1,1,0,0,15.183932,0
1,2018,8,24,1,2,0,0,19.953388,0
1,2018,8,24,1,3,0,0,16.149647,0
1,2018,8,24,2,0,0,0,13.031343,0
1,2018,8,24,2,1,0,0,13.227209,0
1,2018,8,24,2,2,0,0,11.613453,0
1,2018,8,24,2,3,0,0,20.462308,0
1,2018,8,24,3,0,0,0,25.081313,0
1,2018,8,24,3,1,0,0,23.050602,0
1,2018,8,24,3,2,0,0,14.785962,0
1,2018,8,24,3,3,0,0,13.63441,0
1,2018,8,24,4,0,0,0,11.263452,0
1,2018,8,24,4,1,0,0,11.477006,0
1,2018,8,24,4,2,0,0,6.311692,0
1,2018,8,24,4,3,0,0,4.219843,0
1,2018,8,24,5,0,0,0,4.219843,0
1,2018,8,24,5,1,0,0,8.461176,0
1,2018,8,24,5,2,0,0,10.699096,0
1,2018,8,24,5,3,0,0,9.248981,0
1,2018,8,24,6,0,0,0,4.555119,0
1,2018,8,24,6,1,0,0,4.219843,0
1,2018,8,24,6,2,0,0,4.219843,0
1,2018,8,24,6,3,0,0,4.122872,0
1,2018,8,24,7,0,0,0,5.698935,0
1,2018,8,24,7,1,0,0,14.479578,0
1,2018,8,24,7,2,0,0,15.816989,0
1,2018,8,24,7,3,0,0,24.772087,0
1,2018,8,24,8,0,0,0,20.48194,0
1,2018,8,24,8,1,0,0,7.334713,0
1,2018,8,24,8,2,0,0,9.389995,0
1,2018,8,24,8,3,0,0,10.26221,0
1,2018,8,24,9,0,0,0,15.71723,0
1,2018,8,24,9,1,0,0,29.56835,0
1,2018,8,24,9,2,0,0,29.645809,0
1,2018,8,24,9,3,0,0,31.488587,0
1,2018,8,24,10,0,0,0,25.095424,0
1,2018,8,24,10,1,0,0,18.838689,0
1,2018,8,24,10,2,0,0,31.756246,0
1,2018,8,24,10,3,0,0,33.022296,0
1,2018,8,24,11,0,0,0,33.844285,0
1,2018,8,24,11,1,0,0,33.285119,0
1,2018,8,24,11,2,0,0,34.285304,0
1,2018,8,24,11,3,0,0,44.623385,0
1,2018,8,24,12,0,0,0,41.348678,0
1,2018,8,24,12,1,0,0,48.272767,0
1,2018,8,24,12,2,0,0,50.651733,0
1,2018,8,24,12,3,0,0,62.854973,0
1,2018,8,24,13,0,0,0,42.868573,0
1,2018,8,24,13,1,0,0,35.570912,0
1,2018,8,24,13,2,0,0,39.452801,0
1,2018,8,24,13,3,0,0,26.458753,0
1,2018,8,24,14,0,0,0,22.746355,0
1,2018,8,24,14,1,0,0,34.739288,0
1,2018,8,24,14,2,0,0,46.378463,0
1,2018,8,24,14,3,0,0,49.018904,0
1,2018,8,24,15,0,0,0,63.746002,0
1,2018,8,24,15,1,0,0,60.996034,0
1,2018,8,24,15,2,0,0,42.557805,0
1,2018,8,24,15,3,0,0,47.487783,0
1,2018,8,24,16,0,0,0,58.117322,0
1,2018,8,24,16,1,0,0,51.23472,0
1,2018,8,24,16,2,0,0,51.590526,0
1,2018,8,24,16,3,0,0,31.191637,0
1,2018,8,24,17,0,0,0,55.265624,0
1,2018,8,24,17,1,0,0,66.655819,0
1,2018,8,24,17,2,0,0,48.350279,0
1,2018,8,24,17,3,0,0,42.060052,0
1,2018,8,24,18,0,0,0,31.915855,0
1,2018,8,24,18,1,0,0,49.970082,0
1,2018,8,24,18,2,0,0,49.726191,0
1,2018,8,24,18,3,0,0,47.680478,0
1,2018,8,24,19,0,0,0,32.737276,0
1,2018,8,24,19,1,0,0,24.707208,0
1,2018,8,24,19,2,0,0,28.164733,0
1,2018,8,24,19,3,0,0,32.159209,0
1,2018,8,24,20,0,0,0,26.978925,0
1,2018,8,24,20,1,0,0,20.065682,0
1,2018,8,24,20,2,0,0,13.662096,0
1,2018,8,24,20,3,0,0,38.859376,0
1,2018,8,24,21,0,0,0,37.909845,0
1,2018,8,24,21,1,0,0,30.578998,0
1,2018,8,24,21,2,0,0,27.995011,0
1,2018,8,24,21,3,0,0,26.387416,0
1,2018,8,24,22,0,0,0,41.498839,0
1,2018,8,24,22,1,0,0,30.430902,0
1,2018,8,24,22,2,0,0,20.952635,0
1,2018,8,24,22,3,0,0,29.66662,0
1,2018,8,24,23,0,0,0,35.47006,0
1,2018,8,24,23,1,0,0,41.250737,0
1,2018,8,24,23,2,0,0,28.74445,0
1,2018,8,24,23,3,0,0,27.100156,0
1,2018,8,25,0,0,0,0,23.265357,0
1,2018,8,25,0,1,0,0,14.127879,0
1,2018,8,25,0,2,0,0,17.904589,0
1,2018,8,25,0,3,0,0,7.574809,0
1,2018,8,25,1,0,0,0,4.366988,0
1,2018,8,25,1,1,0,0,11.825343,0
1,2018,8,25,1,2,0,0,14.467025,0
1,2018,8,25,1,3,0,0,42.078518,0
1,2018,8,25,2,0,0,0,21.570642,0
1,2018,8,25,2,1,0,0,25.874469,0
1,2018,8,25,2,2,0,0,33.864428,0
1,2018,8,25,2,3,0,0,13.545921,0
1,2018,8,25,3,0,0,0,10.848276,0
1,2018,8,25,3,1,0,0,15.355216,0
1,2018,8,25,3,2,0,0,24.586704,0
1,2018,8,25,3,3,0,0,29.546595,0
1,2018,8,25,4,0,0,0,13.101955,0
1,2018,8,25,4,1,0,0,14.59401,0
1,2018,8,25,4,2,0,0,16.480147,0
1,2018,8,25,4,3,0,0,36.839472,0
1,2018,8,25,5,0,0,0,25.938157,0
1,2018,8,25,5,1,0,0,5.945321,0
1,2018,8,25,5,2,0,0,13.097374,0
1,2018,8,25,5,3,0,0,6.252789,0
1,2018,8,25,6,0,0,0,5.613674,0
1,2018,8,25,6,1,0,0,5.613674,0
1,2018,8,25,6,2,0,0,5.613674,0
1,2018,8,25,6,3,0,0,6.177597,0
1,2018,8,25,7,0,0,0,12.909973,0
1,2018,8,25,7,1,0,0,7.927705,0
1,2018,8,25,7,2,0,0,10.708505,0
1,2018,8,25,7,3,0,0,13.003854,0
1,2018,8,25,8,0,0,0,11.769265,0
1,2018,8,25,8,1,0,0,15.418133,0
1,2018,8,25,8,2,0,0,11.110715,0
1,2018,8,25,8,3,0,0,9.759121,0
1,2018,8,25,9,0,0,0,11.292624,0
1,2018,8,25,9,1,0,0,15.177335,0
1,2018,8,25,9,2,0,0,20.972763,0
1,2018,8,25,9,3,0,0,19.735818,0
1,2018,8,25,10,0,0,0,23.830425,0
1,2018,8,25,10,1,0,0,30.876584,0
1,2018,8,25,10,2,0,0,16.111422,0
1,2018,8,25,10,3,0,0,31.086322,0
1,2018,8,25,11,0,0,0,24.874471,0
1,2018,8,25,11,1,0,0,16.014634,0
1,2018,8,25,11,2,0,0,17.966267,0
1,2018,8,25,11,3,0,0,25.726023,0
1,2018,8,25,12,0,0,0,21.621656,0
1,2018,8,25,12,1,0,0,26.814855,0
1,2018,8,25,12,2,0,0,33.686682,0
1,2018,8,25,12,3,0,0,53.277605,0
1,2018,8,25,13,0,0,0,68.558723,0
1,2018,8,25,13,1,0,0,56.110606,0
1,2018,8,25,13,2,0,0,54.535628,0
1,2018,8,25,13,3,0,0,53.694391,0
1,2018,8,25,14,0,0,0,58.996536,0
1,2018,8,25,14,1,0,0,74.291939,0
1,2018,8,25,14,2,0,0,55.224466,0
1,2018,8,25,14,3,0,0,44.317729,0
1,2018,8,25,15,0,0,0,57.16806,0
1,2018,8,25,15,1,0,0,53.127019,0
1,2018,8,25,15,2,0,0,48.918278,0
1,2018,8,25,15,3,0,0,30.900626,0
1,2018,8,25,16,0,0,0,21.116682,0
1,2018,8,25,16,1,0,0,11.712796,0
1,2018,8,25,16,2,0,0,10.981952,0
1,2018,8,25,16,3,0,0,24.846623,0
1,2018,8,25,17,0,0,0,37.624651,0
1,2018,8,25,17,1,0,0,47.303924,0
1,2018,8,25,17,2,0,0,31.819894,0
1,2018,8,25,17,3,0,0,13.271894,0
1,2018,8,25,18,0,0,0,16.058133,0
1,2018,8,25,18,1,0,0,6.539051,0
1,2018,8,25,18,2,0,0,4.641404,0
1,2018,8,25,18,3,0,0,8.24821,0
1,2018,8,25,19,0,0,0,40.95436,0
1,2018,8,25,19,1,0,0,44.492818,0
1,2018,8,25,19,2,0,0,25.961204,0
1,2018,8,25,19,3,0,0,14.977852,0
1,2018,8,25,20,0,0,0,15.830281,0
1,2018,8,25,20,1,0,0,19.87912,0
1,2018,8,25,20,2,0,0,21.047376,0
1,2018,8,25,20,3,0,0,33.138511,0
1,2018,8,25,21,0,0,0,30.390901,0
1,2018,8,25,21,1,0,0,35.048159,0
1,2018,8,25,21,2,0,0,25.78825,0
1,2018,8,25,21,3,0,0,28.847984,0
1,2018,8,25,22,0,0,0,45.530078,0
1,2018,8,25,22,1,0,0,64.801735,0
1,2018,8,25,22,2,0,0,59.783295,0
1,2018,8,25,22,3,0,0,46.119872,0
1,2018,8,25,23,0,0,0,23.73973,0
1,2018,8,25,23,1,0,0,29.081231,0
1,2018,8,25,23,2,0,0,43.079548,0
1,2018,8,25,23,3,0,0,43.333536,0
1,2018,8,26,0,0,0,0,2.890356,0
1,2018,8,26,0,1,0,0,21.795784,0
1,2018,8,26,0,2,0,0,33.152721,0
1,2018,8,26,0,3,0,0,29.466697,0
1,2018,8,26,1,0,0,0,31.156104,0
1,2018,8,26,1,1,0,0,41.550398,0
1,2018,8,26,1,2,0,0,45.042464,0
1,2018,8,26,1,3,0,0,40.434147,0
1,2018,8,26,2,0,0,0,37.307034,0
